iter	Passed	Remaining
0	16	8143
1	25	6438
2	34	5706
3	43	5353
4	52	5189
5	61	5077
6	70	4963
7	79	4879
8	88	4849
9	97	4787
10	107	4761
11	116	4752
12	126	4730
13	136	4724
14	145	4696
15	154	4660
16	163	4643
17	172	4613
18	181	4592
19	190	4577
20	199	4557
21	209	4557
22	218	4525
23	226	4499
24	235	4478
25	244	4454
26	253	4438
27	262	4419
28	271	4405
29	280	4387
30	288	4366
31	298	4362
32	307	4345
33	316	4332
34	324	4314
35	333	4292
36	341	4276
37	351	4271
38	360	4257
39	368	4240
40	383	4289
41	392	4279
42	402	4282
43	413	4285
44	421	4262
45	431	4255
46	440	4240
47	449	4228
48	458	4222
49	469	4221
50	477	4207
51	486	4195
52	497	4192
53	507	4187
54	516	4177
55	525	4163
56	534	4154
57	544	4149
58	554	4144
59	562	4125
60	570	4108
61	579	4096
62	587	4077
63	597	4068
64	606	4055
65	614	4043
66	623	4029
67	633	4021
68	642	4013
69	652	4007
70	661	3997
71	670	3984
72	678	3971
73	687	3958
74	699	3962
75	708	3954
76	717	3942
77	726	3931
78	735	3920
79	744	3909
80	754	3901
81	763	3891
82	774	3889
83	791	3921
84	801	3911
85	809	3896
86	817	3882
87	826	3868
88	835	3857
89	843	3843
90	852	3832
91	861	3819
92	869	3804
93	878	3794
94	887	3781
95	895	3768
96	903	3755
97	913	3747
98	922	3735
99	930	3722
100	940	3715
101	948	3701
102	958	3693
103	968	3687
104	977	3677
105	987	3671
106	996	3659
107	1005	3648
108	1013	3635
109	1022	3623
110	1032	3618
111	1041	3608
112	1050	3597
113	1059	3587
114	1068	3575
115	1076	3563
116	1085	3554
117	1104	3576
118	1114	3569
119	1123	3556
120	1131	3545
121	1149	3561
122	1159	3554
123	1168	3542
124	1177	3532
125	1185	3520
126	1194	3508
127	1202	3495
128	1210	3482
129	1222	3479
130	1231	3468
131	1239	3456
132	1248	3444
133	1256	3432
134	1266	3423
135	1274	3411
136	1283	3400
137	1292	3389
138	1303	3384
139	1312	3373
140	1322	3366
141	1331	3357
142	1340	3345
143	1350	3338
144	1364	3341
145	1373	3331
146	1382	3318
147	1390	3307
148	1399	3297
149	1407	3283
150	1415	3270
151	1424	3260
152	1433	3251
153	1441	3239
154	1450	3227
155	1459	3218
156	1467	3206
157	1476	3196
158	1484	3184
159	1492	3171
160	1500	3159
161	1509	3149
162	1518	3139
163	1526	3126
164	1534	3114
165	1541	3102
166	1549	3090
167	1557	3077
168	1565	3065
169	1573	3054
170	1581	3042
171	1588	3029
172	1596	3018
173	1605	3007
174	1613	2995
175	1621	2984
176	1629	2974
177	1640	2967
178	1648	2956
179	1656	2944
180	1663	2932
181	1671	2919
182	1679	2908
183	1687	2897
184	1696	2887
185	1704	2876
186	1712	2865
187	1719	2853
188	1728	2843
189	1735	2830
190	1743	2820
191	1750	2808
192	1759	2799
193	1778	2805
194	1794	2806
195	1806	2801
196	1816	2793
197	1827	2787
198	1836	2777
199	1844	2766
200	1853	2756
201	1861	2746
202	1869	2735
203	1878	2725
204	1888	2717
205	1896	2706
206	1905	2696
207	1914	2687
208	1922	2676
209	1931	2667
210	1939	2656
211	1948	2646
212	1957	2637
213	1967	2628
214	1978	2622
215	1987	2612
216	1996	2604
217	2004	2593
218	2012	2582
219	2022	2574
220	2031	2564
221	2040	2555
222	2050	2547
223	2058	2536
224	2066	2525
225	2075	2516
226	2084	2507
227	2092	2496
228	2101	2486
229	2110	2476
230	2119	2468
231	2127	2458
232	2136	2447
233	2144	2437
234	2153	2428
235	2161	2417
236	2170	2408
237	2180	2400
238	2189	2391
239	2198	2382
240	2207	2372
241	2216	2363
242	2229	2358
243	2238	2349
244	2247	2339
245	2256	2330
246	2265	2320
247	2275	2312
248	2284	2302
249	2291	2291
250	2299	2281
251	2308	2271
252	2315	2261
253	2324	2250
254	2331	2240
255	2339	2230
256	2349	2221
257	2357	2210
258	2365	2201
259	2373	2191
260	2381	2180
261	2391	2172
262	2399	2162
263	2407	2152
264	2415	2142
265	2424	2133
266	2432	2122
267	2440	2112
268	2448	2102
269	2456	2092
270	2463	2081
271	2472	2072
272	2481	2063
273	2488	2052
274	2496	2042
275	2503	2032
276	2512	2022
277	2519	2012
278	2528	2002
279	2536	1992
280	2545	1983
281	2554	1974
282	2562	1964
283	2570	1955
284	2578	1945
285	2586	1935
286	2594	1925
287	2603	1916
288	2611	1907
289	2619	1896
290	2628	1887
291	2636	1878
292	2644	1868
293	2652	1858
294	2661	1849
295	2670	1840
296	2677	1830
297	2685	1820
298	2694	1811
299	2702	1801
300	2710	1791
301	2718	1782
302	2726	1772
303	2735	1763
304	2742	1753
305	2751	1744
306	2759	1734
307	2766	1724
308	2774	1714
309	2781	1705
310	2790	1695
311	2800	1687
312	2808	1677
313	2816	1668
314	2824	1658
315	2832	1649
316	2840	1639
317	2848	1630
318	2857	1621
319	2865	1612
320	2874	1603
321	2883	1594
322	2891	1584
323	2900	1575
324	2908	1566
325	2917	1557
326	2924	1547
327	2933	1538
328	2942	1529
329	2950	1519
330	2958	1510
331	2967	1501
332	2974	1491
333	2982	1482
334	2992	1473
335	3000	1464
336	3008	1455
337	3016	1445
338	3023	1435
339	3032	1427
340	3040	1417
341	3048	1408
342	3055	1398
343	3064	1389
344	3072	1380
345	3080	1370
346	3088	1361
347	3095	1352
348	3108	1344
349	3117	1335
350	3125	1326
351	3135	1318
352	3143	1308
353	3153	1300
354	3162	1291
355	3170	1282
356	3179	1273
357	3187	1264
358	3197	1255
359	3204	1246
360	3214	1237
361	3225	1229
362	3236	1221
363	3245	1212
364	3253	1203
365	3261	1194
366	3269	1184
367	3276	1175
368	3285	1166
369	3294	1157
370	3302	1148
371	3311	1139
372	3321	1130
373	3330	1122
374	3338	1112
375	3348	1104
376	3359	1096
377	3368	1087
378	3377	1078
379	3384	1068
380	3394	1060
381	3402	1051
382	3411	1042
383	3419	1033
384	3428	1024
385	3437	1015
386	3445	1005
387	3452	996
388	3459	987
389	3468	978
390	3477	969
391	3485	960
392	3494	951
393	3502	942
394	3509	933
395	3518	923
396	3527	915
397	3536	906
398	3544	897
399	3555	888
400	3564	880
401	3573	871
402	3581	862
403	3589	852
404	3597	843
405	3606	834
406	3615	826
407	3624	817
408	3632	808
409	3639	799
410	3649	790
411	3656	781
412	3665	772
413	3673	763
414	3682	754
415	3690	745
416	3697	735
417	3707	727
418	3716	718
419	3724	709
420	3733	700
421	3742	691
422	3751	682
423	3759	673
424	3768	664
425	3776	655
426	3783	646
427	3792	637
428	3801	629
429	3809	620
430	3818	611
431	3827	602
432	3835	593
433	3844	584
434	3852	575
435	3860	566
436	3869	557
437	3877	548
438	3885	539
439	3894	531
440	3903	522
441	3911	513
442	3919	504
443	3928	495
444	3936	486
445	3945	477
446	3954	468
447	3962	459
448	3970	450
449	3978	442
450	3988	433
451	3997	424
452	4004	415
453	4013	406
454	4025	398
455	4033	389
456	4042	380
457	4050	371
458	4058	362
459	4068	353
460	4076	344
461	4085	336
462	4094	327
463	4102	318
464	4110	309
465	4118	300
466	4126	291
467	4134	282
468	4143	273
469	4153	265
470	4161	256
471	4169	247
472	4179	238
473	4187	229
474	4196	220
475	4205	212
476	4213	203
477	4221	194
478	4229	185
479	4238	176
480	4247	167
481	4254	158
482	4263	150
483	4271	141
484	4279	132
485	4287	123
486	4296	114
487	4304	105
488	4313	97
489	4321	88
490	4330	79
491	4348	70
492	4357	61
493	4366	53
494	4375	44
495	4383	35
496	4391	26
497	4399	17
498	4407	8
499	4415	0
