datetime,flow_lt_lv,flow_lt_se,flow_lt_pl,flow_total,flow_abs_total
2022-01-01 00:00:00,-306.7,-700.0,-50.0,-1056.7,1056.7
2022-01-01 00:15:00,-306.7,-700.0,-50.0,-1056.7,1056.7
2022-01-01 00:30:00,-306.7,-700.0,-50.0,-1056.7,1056.7
2022-01-01 00:45:00,-306.7,-700.0,-50.0,-1056.7,1056.7
2022-01-01 01:00:00,-226.4,-683.7,416.0,-494.1,1326.1
2022-01-01 01:15:00,-226.4,-683.7,416.0,-494.1,1326.1
2022-01-01 01:30:00,-226.4,-683.7,416.0,-494.1,1326.1
2022-01-01 01:45:00,-226.4,-683.7,416.0,-494.1,1326.1
2022-01-01 02:00:00,-197.0,-569.8,363.7,-403.09999999999997,1130.5
2022-01-01 02:15:00,-197.0,-569.8,363.7,-403.09999999999997,1130.5
2022-01-01 02:30:00,-197.0,-569.8,363.7,-403.09999999999997,1130.5
2022-01-01 02:45:00,-197.0,-569.8,363.7,-403.09999999999997,1130.5
2022-01-01 03:00:00,-273.1,-548.9,485.0,-337.0,1307.0
2022-01-01 03:15:00,-273.1,-548.9,485.0,-337.0,1307.0
2022-01-01 03:30:00,-273.1,-548.9,485.0,-337.0,1307.0
2022-01-01 03:45:00,-273.1,-548.9,485.0,-337.0,1307.0
2022-01-01 04:00:00,-159.5,-647.9,300.0,-507.4,1107.4
2022-01-01 04:15:00,-159.5,-647.9,300.0,-507.4,1107.4
2022-01-01 04:30:00,-159.5,-647.9,300.0,-507.4,1107.4
2022-01-01 04:45:00,-159.5,-647.9,300.0,-507.4,1107.4
2022-01-01 05:00:00,-93.9,-699.9,300.0,-493.79999999999995,1093.8
2022-01-01 05:15:00,-93.9,-699.9,300.0,-493.79999999999995,1093.8
2022-01-01 05:30:00,-93.9,-699.9,300.0,-493.79999999999995,1093.8
2022-01-01 05:45:00,-93.9,-699.9,300.0,-493.79999999999995,1093.8
2022-01-01 06:00:00,-108.1,-700.0,300.0,-508.1,1108.1
2022-01-01 06:15:00,-108.1,-700.0,300.0,-508.1,1108.1
2022-01-01 06:30:00,-108.1,-700.0,300.0,-508.1,1108.1
2022-01-01 06:45:00,-108.1,-700.0,300.0,-508.1,1108.1
2022-01-01 07:00:00,10.2,-390.9,58.0,-322.7,459.09999999999997
2022-01-01 07:15:00,10.2,-390.9,58.0,-322.7,459.09999999999997
2022-01-01 07:30:00,10.2,-390.9,58.0,-322.7,459.09999999999997
2022-01-01 07:45:00,10.2,-390.9,58.0,-322.7,459.09999999999997
2022-01-01 08:00:00,14.7,-415.0,79.0,-321.3,508.7
2022-01-01 08:15:00,14.7,-415.0,79.0,-321.3,508.7
2022-01-01 08:30:00,14.7,-415.0,79.0,-321.3,508.7
2022-01-01 08:45:00,14.7,-415.0,79.0,-321.3,508.7
2022-01-01 09:00:00,-418.2,-272.7,300.0,-390.9,990.9
2022-01-01 09:15:00,-418.2,-272.7,300.0,-390.9,990.9
2022-01-01 09:30:00,-418.2,-272.7,300.0,-390.9,990.9
2022-01-01 09:45:00,-418.2,-272.7,300.0,-390.9,990.9
2022-01-01 10:00:00,-469.8,-210.1,185.4,-494.5,865.3
2022-01-01 10:15:00,-469.8,-210.1,185.4,-494.5,865.3
2022-01-01 10:30:00,-469.8,-210.1,185.4,-494.5,865.3
2022-01-01 10:45:00,-469.8,-210.1,185.4,-494.5,865.3
2022-01-01 11:00:00,-422.1,13.4,-152.0,-560.7,587.5
2022-01-01 11:15:00,-422.1,13.4,-152.0,-560.7,587.5
2022-01-01 11:30:00,-422.1,13.4,-152.0,-560.7,587.5
2022-01-01 11:45:00,-422.1,13.4,-152.0,-560.7,587.5
2022-01-01 12:00:00,-414.6,-67.1,-117.3,-599.0,599.0
2022-01-01 12:15:00,-414.6,-67.1,-117.3,-599.0,599.0
2022-01-01 12:30:00,-414.6,-67.1,-117.3,-599.0,599.0
2022-01-01 12:45:00,-414.6,-67.1,-117.3,-599.0,599.0
2022-01-01 13:00:00,-528.9,439.4,-376.3,-465.8,1344.6
2022-01-01 13:15:00,-528.9,439.4,-376.3,-465.8,1344.6
2022-01-01 13:30:00,-528.9,439.4,-376.3,-465.8,1344.6
2022-01-01 13:45:00,-528.9,439.4,-376.3,-465.8,1344.6
2022-01-01 14:00:00,-562.0,535.8,-460.1,-486.30000000000007,1557.9
2022-01-01 14:15:00,-562.0,535.8,-460.1,-486.30000000000007,1557.9
2022-01-01 14:30:00,-562.0,535.8,-460.1,-486.30000000000007,1557.9
2022-01-01 14:45:00,-562.0,535.8,-460.1,-486.30000000000007,1557.9
2022-01-01 15:00:00,-97.9,43.4,-450.6,-505.1,591.9000000000001
2022-01-01 15:15:00,-97.9,43.4,-450.6,-505.1,591.9000000000001
2022-01-01 15:30:00,-97.9,43.4,-450.6,-505.1,591.9000000000001
2022-01-01 15:45:00,-97.9,43.4,-450.6,-505.1,591.9000000000001
2022-01-01 16:00:00,41.3,-190.7,-446.2,-595.5999999999999,678.2
2022-01-01 16:15:00,41.3,-190.7,-446.2,-595.5999999999999,678.2
2022-01-01 16:30:00,41.3,-190.7,-446.2,-595.5999999999999,678.2
2022-01-01 16:45:00,41.3,-190.7,-446.2,-595.5999999999999,678.2
2022-01-01 17:00:00,-8.7,-196.8,-300.0,-505.5,505.5
2022-01-01 17:15:00,-8.7,-196.8,-300.0,-505.5,505.5
2022-01-01 17:30:00,-8.7,-196.8,-300.0,-505.5,505.5
2022-01-01 17:45:00,-8.7,-196.8,-300.0,-505.5,505.5
2022-01-01 18:00:00,-169.9,-404.4,50.0,-524.3,624.3
2022-01-01 18:15:00,-169.9,-404.4,50.0,-524.3,624.3
2022-01-01 18:30:00,-169.9,-404.4,50.0,-524.3,624.3
2022-01-01 18:45:00,-169.9,-404.4,50.0,-524.3,624.3
2022-01-01 19:00:00,-60.7,-480.1,0.0,-540.8000000000001,540.8000000000001
2022-01-01 19:15:00,-60.7,-480.1,0.0,-540.8000000000001,540.8000000000001
2022-01-01 19:30:00,-60.7,-480.1,0.0,-540.8000000000001,540.8000000000001
2022-01-01 19:45:00,-60.7,-480.1,0.0,-540.8000000000001,540.8000000000001
2022-01-01 20:00:00,-252.8,-700.0,412.5,-540.3,1365.3
2022-01-01 20:15:00,-252.8,-700.0,412.5,-540.3,1365.3
2022-01-01 20:30:00,-252.8,-700.0,412.5,-540.3,1365.3
2022-01-01 20:45:00,-252.8,-700.0,412.5,-540.3,1365.3
2022-01-01 21:00:00,-299.7,-700.0,305.7,-694.0,1305.4
2022-01-01 21:15:00,-299.7,-700.0,305.7,-694.0,1305.4
2022-01-01 21:30:00,-299.7,-700.0,305.7,-694.0,1305.4
2022-01-01 21:45:00,-299.7,-700.0,305.7,-694.0,1305.4
2022-01-01 22:00:00,-117.1,-700.0,224.1,-593.0,1041.2
2022-01-01 22:15:00,-117.1,-700.0,224.1,-593.0,1041.2
2022-01-01 22:30:00,-117.1,-700.0,224.1,-593.0,1041.2
2022-01-01 22:45:00,-117.1,-700.0,224.1,-593.0,1041.2
2022-01-01 23:00:00,-194.3,-700.0,200.0,-694.3,1094.3
2022-01-01 23:15:00,-194.3,-700.0,200.0,-694.3,1094.3
2022-01-01 23:30:00,-194.3,-700.0,200.0,-694.3,1094.3
2022-01-01 23:45:00,-194.3,-700.0,200.0,-694.3,1094.3
2022-01-02 00:00:00,450.8,-700.0,-400.0,-649.2,1550.8
2022-01-02 00:15:00,450.8,-700.0,-400.0,-649.2,1550.8
2022-01-02 00:30:00,450.8,-700.0,-400.0,-649.2,1550.8
2022-01-02 00:45:00,450.8,-700.0,-400.0,-649.2,1550.8
2022-01-02 01:00:00,582.7,-700.0,-492.0,-609.3,1774.7
2022-01-02 01:15:00,582.7,-700.0,-492.0,-609.3,1774.7
2022-01-02 01:30:00,582.7,-700.0,-492.0,-609.3,1774.7
2022-01-02 01:45:00,582.7,-700.0,-492.0,-609.3,1774.7
