feature,importance
lag_1,51.26020409536785
lag_4,9.950568232204205
lv_price,4.4941535936394725
minute,2.99590397901721
ee_price,2.706857279449798
price_vs_mean7d,2.1488701613420913
pl_price,1.4337948096256823
trend_medium,1.2399518076782419
lag_8,1.1107956411118909
rolling_mean_24h,0.803100135422174
consumption_mw_lag_24h,0.7770216708568931
lag_672,0.7590298787734396
rolling_std_24h,0.6656991209983204
rolling_min_24h,0.6468304286890063
price_spike_flag,0.636649009854324
trend_7d,0.6219730257475659
rolling_max_24h,0.6209570784568358
timeofday_cos,0.6084047320845348
timeofday_sin,0.6070501519883685
price_vs_mean24h,0.5971348283790218
se4_price,0.5728873332723288
range_position_24h,0.5670048034958668
lag_96,0.5634380664332936
consumption_mw_lag_1,0.5485083247021096
price_zscore_24h,0.5363283237504795
price_return_1,0.48685244744402
abs_price_jump_1,0.4751912627710762
price_diff_1,0.4374285618410984
weekday_cos,0.3756332356612931
hour_sin,0.36913211671880697
flow_total_rolling_mean_24h,0.36858119867218536
trend_short,0.36728110062059094
price_jump_1,0.34707613273080745
price_return_24h,0.32271457459933667
rolling_mean_7d,0.3183838742703812
flow_abs_total_rolling_mean_24h,0.30730657831608593
flow_lt_lv_rolling_std_24h,0.30569087294677116
weekday,0.29894545444586745
lag_192,0.29687391212853215
month_sin,0.2913521507271594
hour,0.24144069877337054
flow_abs_total_lag_1,0.23833134592789884
consumption_mw_rolling_mean_24h,0.23325322412268568
consumption_mw_lag_48h,0.2154288937374216
production_total_mw_lag_24h,0.21112791492025448
net_load_mw_lag_1,0.20905595705504626
flow_lt_se_lag_7d,0.20632512367335948
weekofyear,0.20287287820424546
month,0.20063013364885932
volatility_24h,0.19834931114563198
hour_week,0.19515602293818024
flow_lt_se_rolling_std_24h,0.19299960441402844
dayofyear_cos,0.17780981872213214
flow_lt_lv_lag_24h,0.17320553365258243
is_peak_hour,0.16985470470362005
trend_24h,0.1683817194440995
dayofyear_sin,0.1635261859552888
net_load_mw_rolling_mean_24h,0.15933196846309253
production_total_mw_lag_1,0.1576468948073788
consumption_mw_lag_7d,0.15585172880417258
consumption_diff_24h,0.14091487139219583
production_total_mw_rolling_mean_24h,0.13973246477821005
production_total_mw_rolling_std_24h,0.13881752541801404
flow_lt_se_rolling_mean_24h,0.13838979397286666
month_cos,0.13829877469683602
flow_total_diff_24h,0.1363365320218148
production_total_mw_lag_7d,0.12803047018397076
hour_cos,0.1264229909220106
flow_lt_lv_rolling_mean_24h,0.1248594276638808
flow_lt_pl_lag_1,0.11519398978217099
price_diff_24h,0.11250749057516825
flow_lt_lv_lag_48h,0.10386215752761081
flow_lt_pl_lag_24h,0.09891862304511494
net_load_mw_rolling_std_24h,0.0934051981710169
net_load_diff_24h,0.09151274956959589
production_total_mw_lag_48h,0.08813068501348553
flow_abs_total_lag_24h,0.08757500442245975
flow_lt_pl_rolling_mean_24h,0.08521869894305072
volatility_7d,0.0848339711092069
flow_lt_lv_lag_1,0.08306726786385377
rolling_std_7d,0.07602101316799759
flow_abs_total_lag_48h,0.06360433753309452
flow_abs_total_diff_24h,0.06096606943469375
flow_total_rolling_std_24h,0.05863808541609307
production_diff_24h,0.05825206021684855
flow_total_lag_24h,0.05642271488324765
flow_abs_total_lag_7d,0.05404701749504445
flow_total_lag_7d,0.05119566730357302
lag1_vs_lag24,0.04977043993594212
flow_lt_pl_rolling_std_24h,0.04849419821667025
flow_total_lag_48h,0.048006466033445876
flow_lt_se_lag_1,0.043723018594416706
net_load_mw_lag_48h,0.04132135858350685
weekday_sin,0.0394482681193258
dayofyear,0.035896343570431415
flow_lt_se_lag_48h,0.033367525882980156
consumption_mw_rolling_std_24h,0.03222547572473532
net_load_mw_lag_7d,0.031694353357105125
flow_lt_se_lag_24h,0.030388448395321375
flow_abs_total_rolling_std_24h,0.02969951389897924
flow_total_lag_1,0.02938780209581426
net_load_mw_lag_24h,0.02162369469964875
flow_lt_pl_lag_7d,0.015649248960989973
flow_lt_lv_lag_7d,0.013477983501847183
is_weekend,0.005344821412796131
flow_lt_pl_lag_48h,0.0031657371446138873
high_vol_regime,0.0
