feature,importance
lag_1,830
trend_medium,729
lag_4,625
minute,541
lv_price,535
trend_short,525
price_diff_1,403
ee_price,355
abs_price_jump_1,324
timeofday_sin,315
lag_8,293
timeofday_cos,280
price_diff_24h,274
consumption_diff_24h,272
price_vs_mean7d,264
pl_price,260
se4_price,254
price_return_1,237
lag_672,234
range_position_24h,222
lag_96,221
trend_7d,215
lag_192,180
net_load_mw_lag_1,173
price_zscore_24h,161
production_total_mw_lag_1,157
flow_lt_lv_lag_48h,153
consumption_mw_lag_7d,149
price_vs_mean24h,141
flow_lt_pl_lag_1,139
flow_abs_total_rolling_std_24h,136
consumption_mw_lag_1,128
rolling_std_24h,127
consumption_mw_rolling_mean_24h,125
rolling_max_24h,124
consumption_mw_lag_48h,119
net_load_mw_lag_48h,118
flow_lt_pl_lag_7d,116
price_return_24h,114
flow_abs_total_diff_24h,114
flow_lt_lv_rolling_std_24h,112
flow_lt_lv_lag_7d,111
production_diff_24h,107
rolling_mean_24h,107
net_load_mw_rolling_std_24h,106
flow_total_lag_1,103
flow_abs_total_lag_7d,102
consumption_mw_lag_24h,102
flow_lt_pl_rolling_mean_24h,101
hour_week,100
flow_total_diff_24h,100
consumption_mw_rolling_std_24h,97
production_total_mw_rolling_mean_24h,96
hour,95
flow_lt_lv_lag_1,94
flow_lt_lv_lag_24h,93
flow_abs_total_lag_48h,92
flow_lt_pl_rolling_std_24h,91
price_jump_1,91
flow_abs_total_lag_1,91
flow_total_lag_7d,89
net_load_diff_24h,88
rolling_std_7d,88
production_total_mw_lag_48h,84
flow_lt_pl_lag_48h,82
production_total_mw_lag_7d,80
hour_sin,78
production_total_mw_rolling_std_24h,77
dayofyear_sin,77
net_load_mw_lag_7d,77
production_total_mw_lag_24h,74
flow_lt_se_lag_7d,74
flow_total_rolling_mean_24h,73
rolling_mean_7d,72
flow_lt_pl_lag_24h,72
flow_abs_total_lag_24h,70
flow_total_lag_24h,69
flow_total_rolling_std_24h,66
flow_total_lag_48h,64
dayofyear_cos,64
net_load_mw_rolling_mean_24h,62
flow_abs_total_rolling_mean_24h,58
rolling_min_24h,58
hour_cos,53
flow_lt_se_lag_48h,51
net_load_mw_lag_24h,50
flow_lt_se_rolling_std_24h,49
flow_lt_lv_rolling_mean_24h,47
flow_lt_se_lag_24h,47
flow_lt_se_rolling_mean_24h,43
trend_24h,37
flow_lt_se_lag_1,36
volatility_24h,29
dayofyear,22
volatility_7d,21
lag1_vs_lag24,19
is_peak_hour,19
weekday_cos,14
weekday,10
month_cos,8
weekday_sin,5
weekofyear,5
high_vol_regime,5
month_sin,4
month,2
is_weekend,0
price_spike_flag,0
