feature,importance
spread_lv_change,1571
spread_lv,1320
price_diff_1,742
lag_1,516
spread_ee,503
lag_2,354
lv_price_rolling_std_24h,320
lv_price_diff_24h,319
abs_price_jump_1,290
spread_lv_zscore,243
price_return_1,229
ee_price_diff_24h,218
lag_24,209
price_jump_1,185
lv_price_rolling_mean_24h,170
hour,156
spread_se4,155
ee_price_rolling_std_24h,154
dayofyear_cos,151
spread_pl,147
trend_short,146
price_vs_mean7d,135
price_diff_24h,133
lag_168,127
lv_price_lag_24h,123
se4_price_diff_24h,119
rolling_std_24h,118
lag_72,109
flow_lt_lv_lag_1,105
hour_sin,100
month_cos,100
hour_week,98
pl_price_diff_24h,98
trend_7d,97
lag_48,88
shortwave_radiation_lag_48h,87
wind_speed_10m_lag_1,85
lag_3,85
trend_medium,84
dayofyear,82
pl_price_lag_24h,78
consumption_mw_lag_1,78
flow_lt_pl_rolling_mean_24h,76
range_position_24h,76
flow_abs_total_lag_7d,75
se4_price_rolling_std_24h,75
ee_price_lag_24h,75
production_total_mw_lag_1,75
price_return_24h,74
shortwave_radiation_lag_1,72
rolling_mean_24h,72
rolling_max_24h,71
flow_lt_pl_rolling_std_24h,69
rolling_mean_7d,69
consumption_mw_rolling_mean_24h,68
consumption_diff_24h,67
price_vs_mean24h,66
hour_cos,66
wind_speed_10m_rolling_mean_24h,65
flow_abs_total_lag_24h,65
consumption_mw_lag_7d,63
ee_price_rolling_mean_24h,62
temperature_2m_rolling_std_24h,62
consumption_mw_rolling_std_24h,61
price_zscore_24h,60
flow_abs_total_rolling_std_24h,60
consumption_mw_lag_48h,60
pl_price_lag_48h,59
net_load_mw_lag_1,58
se4_price_lag_24h,56
temperature_2m_lag_1,56
production_total_mw_rolling_std_24h,56
consumption_mw_lag_24h,53
rolling_min_24h,52
rolling_std_7d,52
temperature_2m_lag_48h,51
se4_price_rolling_mean_24h,51
ee_price_lag_7d,51
flow_lt_pl_lag_7d,50
se4_price_lag_7d,50
dayofyear_sin,50
flow_total_lag_1,49
wind_speed_10m_rolling_std_24h,49
lv_price_lag_7d,49
pl_price_rolling_std_24h,48
flow_lt_lv_lag_7d,48
se4_price_lag_48h,47
pl_price_lag_7d,47
temperature_2m_lag_24h,45
shortwave_radiation_lag_24h,44
weekofyear,44
lv_price_lag_48h,44
flow_lt_pl_lag_24h,43
wind_solar_interaction,43
flow_lt_pl_lag_1,43
production_diff_24h,42
net_load_mw_rolling_std_24h,42
flow_total_lag_7d,41
flow_lt_lv_rolling_std_24h,40
cloud_cover_lag_48h,39
production_total_mw_lag_7d,39
flow_abs_total_diff_24h,38
net_load_mw_lag_24h,38
temperature_2m_rolling_mean_24h,37
cloud_cover_lag_1,37
solar_proxy_lag_48h,37
flow_lt_lv_lag_48h,37
net_load_diff_24h,37
flow_lt_pl_lag_48h,37
flow_lt_lv_rolling_mean_24h,37
flow_total_lag_24h,36
wind_speed_10m_lag_48h,36
wind_speed_10m_lag_24h,35
production_total_mw_lag_48h,35
cloud_cover_rolling_mean_24h,35
net_load_mw_lag_7d,34
flow_lt_se_lag_7d,34
flow_abs_total_lag_1,33
shortwave_radiation_rolling_mean_24h,33
pl_price_rolling_mean_24h,33
flow_abs_total_rolling_mean_24h,32
flow_abs_total_lag_48h,32
shortwave_radiation_rolling_std_24h,31
flow_lt_se_lag_48h,31
flow_lt_se_rolling_mean_24h,30
trend_24h,30
production_total_mw_lag_24h,30
net_load_mw_rolling_mean_24h,30
cloud_cover_lag_24h,29
flow_lt_lv_lag_24h,29
flow_lt_se_rolling_std_24h,27
flow_total_rolling_std_24h,27
solar_proxy_lag_1,26
flow_lt_se_lag_1,26
flow_total_lag_48h,25
solar_proxy_rolling_std_24h,23
solar_proxy_lag_24h,22
cloud_cover_rolling_std_24h,22
flow_total_diff_24h,21
month_sin,21
net_load_mw_lag_48h,20
solar_proxy_rolling_mean_24h,20
ee_price_lag_48h,20
flow_total_rolling_mean_24h,18
month,18
volatility_24h,17
production_total_mw_rolling_mean_24h,16
is_peak_hour,12
flow_lt_se_lag_24h,11
weekday_cos,8
weekday_sin,8
weekday,8
solar_cloud_adjusted,5
lag1_vs_lag24,5
volatility_7d,5
high_vol_regime,3
is_weekend,0
price_spike_flag,0
minute,0
