feature,importance_gain
spread_se4,0.204876
spread_pl,0.11729375
price_vs_mean7d,0.089821264
consumption_mw_lag_1,0.08116672
ee_price_rolling_mean_24h,0.062177304
lv_price_rolling_mean_24h,0.037232045
rolling_min_24h,0.025159435
lv_price_rolling_std_24h,0.02366093
price_vs_mean24h,0.017533446
rolling_max_24h,0.017508382
se4_price_rolling_mean_24h,0.013424851
rolling_mean_7d,0.0127012
dayofyear_cos,0.0123795355
price_zscore_24h,0.011737355
ee_price_rolling_std_24h,0.010219645
pl_price_diff_24h,0.009143946
consumption_mw_lag_24h,0.007996785
cloud_cover_rolling_mean_24h,0.0075700847
consumption_mw_rolling_mean_24h,0.0069134883
shortwave_radiation_rolling_mean_24h,0.0068382034
range_position_24h,0.005657406
volatility_7d,0.0048692324
pl_price_rolling_std_24h,0.004682195
production_total_mw_lag_7d,0.0044127763
price_spike_flag,0.00432374
pl_price_lag_24h,0.0042161914
ee_price_lag_7d,0.0039052384
lv_price_lag_7d,0.0038874727
pl_price_rolling_mean_24h,0.0037425011
rolling_std_7d,0.0036819912
lag_96,0.0035720111
ee_price_diff_24h,0.0035409546
hour_week,0.0034530433
dayofyear_sin,0.0033490993
consumption_diff_24h,0.003040726
se4_price_diff_24h,0.0030189953
lag_672,0.0029441642
production_total_mw_lag_1,0.0028753916
wind_speed_10m_lag_1,0.0028322206
consumption_mw_lag_48h,0.0027672302
solar_proxy_rolling_mean_24h,0.002756226
lag1_vs_lag24,0.002709058
rolling_mean_24h,0.0026666138
pl_price_lag_7d,0.002630616
flow_total_lag_48h,0.002602573
minute,0.0025034887
temperature_2m_lag_48h,0.0023816454
se4_price_lag_24h,0.0023123224
flow_abs_total_rolling_std_24h,0.0022764439
ee_price_lag_24h,0.0022223117
se4_price_lag_7d,0.002159597
flow_total_lag_1,0.0021483896
lv_price_lag_48h,0.0021234574
net_load_mw_lag_1,0.002052985
lv_price_diff_24h,0.0019512337
rolling_std_24h,0.0019420887
temperature_2m_rolling_mean_24h,0.0019412318
wind_speed_10m_rolling_mean_24h,0.0019105957
flow_lt_pl_lag_1,0.0018866311
trend_medium,0.001885472
volatility_24h,0.0018687441
timeofday_cos,0.0018398925
lv_price_lag_24h,0.001836106
consumption_mw_lag_7d,0.0018097559
month_sin,0.0018091259
solar_proxy_lag_1,0.0017914892
timeofday_sin,0.0017765989
net_load_mw_lag_7d,0.0017409568
hour_cos,0.0017408007
solar_proxy_rolling_std_24h,0.0017003015
flow_lt_se_lag_24h,0.0016663723
trend_7d,0.0016214825
flow_abs_total_lag_1,0.0015475819
hour,0.0015319635
ee_price_lag_48h,0.0015301999
net_load_mw_lag_48h,0.0015281673
shortwave_radiation_rolling_std_24h,0.0015181862
net_load_mw_rolling_mean_24h,0.0014941308
production_total_mw_lag_48h,0.0014922195
flow_abs_total_lag_7d,0.0014792322
hour_sin,0.0014729778
trend_24h,0.001451567
trend_short,0.001439434
se4_price_rolling_std_24h,0.0014274406
flow_total_lag_7d,0.0014241566
cloud_cover_lag_48h,0.0014190865
flow_abs_total_lag_24h,0.0014181875
flow_lt_lv_rolling_mean_24h,0.0014104792
flow_lt_pl_rolling_mean_24h,0.0013822345
price_jump_1,0.0013605221
flow_lt_lv_rolling_std_24h,0.0013188911
pl_price_lag_48h,0.0013030546
lag_192,0.0012989709
flow_total_diff_24h,0.0012684446
dayofyear,0.001257556
flow_lt_se_rolling_std_24h,0.0012523277
production_total_mw_rolling_mean_24h,0.0012473055
flow_lt_lv_lag_48h,0.0012430995
flow_lt_lv_lag_7d,0.0011759072
price_diff_1,0.0011510449
wind_speed_10m_rolling_std_24h,0.0011329143
