feature,importance_gain
lv_price_rolling_mean_24h,0.3278871
rolling_mean_24h,0.18675059
price_vs_mean7d,0.046017572
lag_24,0.03308151
price_zscore_24h,0.029796023
price_vs_mean24h,0.028624397
spread_pl,0.021214688
flow_lt_lv_lag_48h,0.015423365
lag_168,0.014939121
rolling_mean_7d,0.010892336
trend_medium,0.00978986
lv_price_diff_24h,0.008852709
rolling_max_24h,0.0084648235
is_peak_hour,0.0079651885
range_position_24h,0.0075793164
lv_price_rolling_std_24h,0.007363646
hour_sin,0.0068827984
consumption_mw_lag_7d,0.005247503
ee_price_rolling_std_24h,0.0052332096
trend_short,0.0051818294
ee_price_diff_24h,0.0051262416
wind_speed_10m_lag_48h,0.0049324566
lag_72,0.004881097
ee_price_rolling_mean_24h,0.0047652945
flow_abs_total_rolling_mean_24h,0.004380096
spread_lv_change,0.004128823
pl_price_diff_24h,0.0039892886
lv_price_lag_24h,0.0039623408
rolling_min_24h,0.0036118014
lv_price_lag_7d,0.003511971
ee_price_lag_24h,0.0034882615
price_diff_24h,0.0033168744
month,0.0033115216
lv_price_lag_48h,0.0032938393
solar_proxy_lag_1,0.003290006
hour,0.0031269346
flow_lt_se_lag_48h,0.0030983677
wind_solar_interaction,0.0030894536
trend_7d,0.0030863418
shortwave_radiation_rolling_std_24h,0.002740558
net_load_mw_lag_1,0.0027182784
solar_cloud_adjusted,0.002616122
flow_abs_total_lag_48h,0.0025226742
flow_lt_lv_rolling_mean_24h,0.002496379
trend_24h,0.0023823874
flow_total_rolling_mean_24h,0.0023752972
pl_price_rolling_std_24h,0.0023155853
lag_48,0.0022027856
ee_price_lag_7d,0.0021937771
volatility_7d,0.0021834513
se4_price_rolling_std_24h,0.002045049
flow_lt_lv_lag_7d,0.0020129613
spread_lv,0.0019233617
cloud_cover_rolling_std_24h,0.0019000684
spread_lv_zscore,0.0018461875
flow_lt_se_rolling_std_24h,0.0018240385
consumption_mw_rolling_mean_24h,0.0017961694
se4_price_lag_24h,0.0017880115
temperature_2m_lag_24h,0.0017585059
abs_price_jump_1,0.0017442345
spread_ee,0.0017025416
solar_proxy_lag_24h,0.0016917451
flow_lt_pl_lag_7d,0.0016833736
consumption_mw_lag_24h,0.0016747932
spread_se4,0.0016522786
consumption_mw_lag_1,0.0016213754
production_total_mw_lag_1,0.0016121326
volatility_24h,0.001607094
is_weekend,0.0015943187
dayofyear_sin,0.0015433138
cloud_cover_rolling_mean_24h,0.0015277131
se4_price_diff_24h,0.0015086551
cloud_cover_lag_1,0.0014722791
production_total_mw_rolling_mean_24h,0.0014431884
wind_speed_10m_lag_24h,0.0014173695
flow_total_lag_1,0.0013983086
hour_cos,0.0013981397
pl_price_lag_24h,0.0013856917
ee_price_lag_48h,0.0013646598
pl_price_lag_7d,0.0013621557
dayofyear,0.0013365081
flow_lt_lv_lag_1,0.0013146822
shortwave_radiation_lag_1,0.0013131816
solar_proxy_lag_48h,0.0013044223
rolling_std_24h,0.001289706
cloud_cover_lag_24h,0.0012490408
price_diff_1,0.0012405606
flow_abs_total_lag_1,0.0012083632
