feature,importance
lag_1,0.34794825
lag_2,0.055148903
lv_price_rolling_std_24h,0.03882113
price_vs_mean7d,0.038630214
spread_pl,0.024219533
lag_24,0.022255877
lv_price_diff_24h,0.020944929
ee_price_rolling_std_24h,0.02045489
lv_price_rolling_mean_24h,0.017435122
flow_abs_total_lag_7d,0.016497662
flow_lt_pl_rolling_mean_24h,0.012397238
spread_lv_change,0.011529482
spread_lv,0.010810401
ee_price_diff_24h,0.010656864
ee_price_rolling_mean_24h,0.010347087
spread_ee,0.009602528
price_vs_mean24h,0.009490856
price_jump_1,0.009128294
flow_total_rolling_mean_24h,0.008873523
spread_se4,0.008826576
consumption_mw_lag_24h,0.007635437
spread_lv_zscore,0.0076236837
flow_lt_lv_lag_7d,0.0071833218
lag_168,0.005946871
hour_cos,0.0058588213
lv_price_lag_7d,0.005536696
lv_price_lag_24h,0.0054420247
is_peak_hour,0.005395188
se4_price_diff_24h,0.0051253703
price_return_1,0.004970427
production_total_mw_lag_24h,0.0049651903
flow_lt_pl_lag_7d,0.0048094112
ee_price_lag_24h,0.0047740466
hour,0.0041668327
pl_price_lag_7d,0.0040698955
price_diff_1,0.0038441007
flow_lt_lv_lag_24h,0.0036792867
consumption_mw_lag_7d,0.0036118007
rolling_mean_7d,0.0035983878
consumption_mw_lag_1,0.0035285342
flow_abs_total_lag_24h,0.0035228499
dayofyear,0.003520698
price_zscore_24h,0.003233529
abs_price_jump_1,0.0031557668
rolling_std_24h,0.0030294878
rolling_min_24h,0.0028800897
range_position_24h,0.0027524808
temperature_2m_lag_1,0.0026917446
flow_lt_se_rolling_std_24h,0.002650513
consumption_mw_lag_48h,0.0025745865
lag_48,0.0024705378
cloud_cover_rolling_mean_24h,0.0024554376
pl_price_rolling_mean_24h,0.002340015
flow_total_lag_1,0.0023105973
flow_lt_pl_rolling_std_24h,0.002301855
shortwave_radiation_rolling_std_24h,0.0023016531
hour_sin,0.0022944147
volatility_24h,0.0022848884
flow_lt_se_lag_24h,0.002222458
shortwave_radiation_lag_48h,0.0022075844
shortwave_radiation_rolling_mean_24h,0.0022025257
net_load_mw_lag_1,0.002176059
trend_short,0.0021728254
pl_price_diff_24h,0.0021655818
production_diff_24h,0.002156858
shortwave_radiation_lag_24h,0.002120443
flow_lt_lv_lag_48h,0.0021194816
wind_speed_10m_lag_48h,0.0020636043
flow_total_lag_7d,0.002063379
ee_price_lag_7d,0.002049733
flow_lt_pl_lag_24h,0.0020472885
month_cos,0.002039698
flow_lt_se_lag_1,0.0020330532
se4_price_rolling_mean_24h,0.001992003
dayofyear_cos,0.0019760968
lag_72,0.0019231936
pl_price_lag_24h,0.0019079699
consumption_mw_rolling_std_24h,0.0018970409
solar_proxy_lag_24h,0.0018845947
rolling_mean_24h,0.0018383579
trend_24h,0.0018360643
se4_price_rolling_std_24h,0.0018117897
hour_week,0.0018053831
weekofyear,0.0017996331
flow_lt_lv_lag_1,0.0017817881
flow_lt_lv_rolling_mean_24h,0.0017806403
net_load_mw_rolling_mean_24h,0.00176352
consumption_mw_rolling_mean_24h,0.0017596171
solar_proxy_lag_48h,0.0017330357
flow_abs_total_diff_24h,0.0016967363
net_load_mw_lag_48h,0.0016843674
consumption_diff_24h,0.0016720302
se4_price_lag_24h,0.0016713627
wind_speed_10m_rolling_mean_24h,0.001614837
temperature_2m_rolling_mean_24h,0.0015941894
temperature_2m_lag_24h,0.0015859976
production_total_mw_rolling_mean_24h,0.001584124
lag_3,0.0015769716
production_total_mw_rolling_std_24h,0.0015699134
flow_abs_total_rolling_std_24h,0.0015596485
solar_proxy_lag_1,0.0015482886
trend_medium,0.0015380245
flow_abs_total_lag_1,0.0015215325
wind_solar_interaction,0.0015130825
shortwave_radiation_lag_1,0.0014651826
pl_price_lag_48h,0.0014548204
wind_speed_10m_rolling_std_24h,0.0014411818
wind_speed_10m_lag_1,0.0014250841
net_load_diff_24h,0.0014080902
cloud_cover_lag_1,0.0013765598
trend_7d,0.0013555364
temperature_2m_lag_48h,0.0013465967
price_return_24h,0.0013456107
flow_lt_se_lag_7d,0.0013392853
net_load_mw_lag_7d,0.0013376662
dayofyear_sin,0.0013354651
solar_proxy_rolling_std_24h,0.001315857
net_load_mw_rolling_std_24h,0.0013084149
pl_price_rolling_std_24h,0.0013059559
rolling_max_24h,0.0012978219
flow_lt_se_rolling_mean_24h,0.0012821917
flow_abs_total_rolling_mean_24h,0.0012747367
rolling_std_7d,0.0012471633
production_total_mw_lag_7d,0.0012214452
flow_lt_lv_rolling_std_24h,0.0012098425
price_diff_24h,0.0011929004
production_total_mw_lag_1,0.0011912512
flow_lt_pl_lag_48h,0.0011896328
net_load_mw_lag_24h,0.0011790664
cloud_cover_lag_48h,0.001173163
se4_price_lag_7d,0.0011577543
cloud_cover_rolling_std_24h,0.0011550573
month_sin,0.0011422053
wind_speed_10m_lag_24h,0.0011312923
se4_price_lag_48h,0.0011208748
flow_abs_total_lag_48h,0.0011194292
cloud_cover_lag_24h,0.0011148568
lag1_vs_lag24,0.0011030775
lv_price_lag_48h,0.0011010796
weekday,0.0010740695
flow_total_rolling_std_24h,0.0010421082
flow_lt_se_lag_48h,0.0010303865
ee_price_lag_48h,0.0009991605
month,0.0009940022
flow_total_lag_48h,0.0009912158
flow_lt_pl_lag_1,0.0009885548
flow_total_diff_24h,0.0009793215
flow_total_lag_24h,0.000970143
solar_proxy_rolling_mean_24h,0.0009386037
temperature_2m_rolling_std_24h,0.00091037026
solar_cloud_adjusted,0.00090574543
production_total_mw_lag_48h,0.0009016575
high_vol_regime,0.00081540993
weekday_cos,0.0008044372
volatility_7d,0.00075531093
weekday_sin,0.00049312145
is_weekend,0.00042202405
price_spike_flag,0.0
minute,0.0
