datetime,price,lv_price,ee_price,se4_price,pl_price
2025-10-01 00:00:00,121.0,80.99,72.59,52.53,100.39
2025-10-01 00:15:00,105.89,80.33,72.59,52.62,99.77
2025-10-01 00:30:00,94.67,81.57,72.59,52.55,98.55
2025-10-01 00:45:00,74.42,82.09,72.59,52.76,99.0
2025-10-01 01:00:00,98.95,88.95,88.95,46.64,93.57
2025-10-01 01:15:00,89.44,88.93,88.93,46.8,93.68
2025-10-01 01:30:00,81.79,90.21,90.21,46.71,95.44
2025-10-01 01:45:00,80.92,92.03,92.03,46.71,92.03
2025-10-01 02:00:00,88.71,87.54,72.59,46.81,101.64
2025-10-01 02:15:00,82.89,89.84,72.6,50.59,99.77
2025-10-01 02:30:00,82.22,86.91,85.06,50.58,86.91
2025-10-01 02:45:00,81.67,91.35,91.35,59.66,91.35
2025-10-01 03:00:00,80.99,79.59,79.59,57.18,86.04
2025-10-01 03:15:00,80.33,92.67,92.67,60.73,92.67
2025-10-01 03:30:00,81.57,99.18,99.18,80.81,99.18
2025-10-01 03:45:00,82.09,110.93,110.93,82.32,110.93
2025-10-01 04:00:00,88.95,97.02,97.02,94.27,100.27
2025-10-01 04:15:00,88.93,117.26,117.26,113.48,120.01
2025-10-01 04:30:00,90.21,133.04,133.04,128.66,136.54
2025-10-01 04:45:00,92.03,151.9,151.9,146.86,154.23
2025-10-01 05:00:00,87.54,167.76,167.76,161.77,163.96
2025-10-01 05:15:00,89.84,189.08,189.08,182.39,184.31
2025-10-01 05:30:00,86.91,190.53,190.53,183.62,182.36
2025-10-01 05:45:00,91.35,180.27,180.27,173.74,172.82
2025-10-01 06:00:00,79.59,203.0,203.0,195.68,199.07
2025-10-01 06:15:00,92.67,151.53,151.53,146.04,143.12
2025-10-01 06:30:00,99.18,123.19,123.19,119.38,117.54
2025-10-01 06:45:00,110.93,99.62,99.62,96.7,95.25
2025-10-01 07:00:00,97.02,147.3,119.97,142.05,139.21
2025-10-01 07:15:00,117.26,109.93,109.93,106.63,105.01
2025-10-01 07:30:00,133.04,97.9,97.9,95.06,93.68
2025-10-01 07:45:00,151.9,86.31,86.31,84.9,83.23
2025-10-01 08:00:00,167.76,106.58,106.58,103.28,103.29
2025-10-01 08:15:00,189.08,97.16,97.16,94.25,93.68
2025-10-01 08:30:00,190.53,83.47,83.47,81.89,81.71
2025-10-01 08:45:00,180.27,67.13,67.13,68.28,90.07
2025-10-01 09:00:00,203.0,99.97,99.97,84.7,93.21
2025-10-01 09:15:00,151.53,89.93,89.93,72.35,91.34
2025-10-01 09:30:00,123.19,80.07,80.07,65.02,88.23
2025-10-01 09:45:00,99.62,78.59,78.59,61.81,71.75
2025-10-01 10:00:00,147.3,105.62,105.62,68.08,87.52
2025-10-01 10:15:00,109.93,100.74,100.74,64.92,85.85
2025-10-01 10:30:00,97.9,100.11,100.11,65.13,84.88
2025-10-01 10:45:00,86.31,100.09,100.09,64.89,79.53
2025-10-01 11:00:00,106.58,85.78,85.78,65.29,85.96
2025-10-01 11:15:00,97.16,92.8,92.8,67.53,91.87
2025-10-01 11:30:00,83.47,100.0,100.0,69.35,93.21
2025-10-01 11:45:00,67.13,122.39,122.39,70.84,93.61
2025-10-01 12:00:00,99.97,73.39,73.39,64.14,81.97
2025-10-01 12:15:00,89.93,78.71,78.71,70.2,93.21
2025-10-01 12:30:00,80.07,89.13,89.13,74.79,99.77
2025-10-01 12:45:00,78.59,111.36,111.36,81.55,99.77
2025-10-01 13:00:00,105.62,77.7,77.7,64.96,93.68
2025-10-01 13:15:00,100.74,83.99,83.99,74.69,94.81
2025-10-01 13:30:00,100.11,96.0,96.0,89.03,94.85
2025-10-01 13:45:00,100.09,190.0,190.0,98.6,103.86
2025-10-01 14:00:00,85.78,93.68,93.68,63.62,93.68
2025-10-01 14:15:00,92.8,100.01,100.01,90.73,100.01
2025-10-01 14:30:00,100.0,157.74,157.74,104.81,104.89
2025-10-01 14:45:00,122.39,196.99,196.99,108.05,125.96
2025-10-01 15:00:00,73.39,101.65,101.65,98.57,101.65
2025-10-01 15:15:00,78.71,136.56,136.56,117.64,136.56
2025-10-01 15:30:00,89.13,152.9,152.9,147.36,152.9
2025-10-01 15:45:00,111.36,205.92,205.92,198.46,199.38
2025-10-01 16:00:00,77.7,152.61,152.61,146.92,152.61
2025-10-01 16:15:00,83.99,207.18,207.18,199.06,207.18
2025-10-01 16:30:00,96.0,285.32,285.32,274.26,285.32
2025-10-01 16:45:00,190.0,379.26,379.26,364.6,379.26
2025-10-01 17:00:00,93.68,418.0,418.0,401.99,418.0
2025-10-01 17:15:00,100.01,374.51,374.51,360.32,387.0
2025-10-01 17:30:00,157.74,320.4,320.4,308.16,328.92
2025-10-01 17:45:00,196.99,252.0,252.0,242.28,258.31
2025-10-01 18:00:00,101.65,217.1,217.1,209.21,217.31
2025-10-01 18:15:00,136.56,154.68,154.68,148.95,155.31
2025-10-01 18:30:00,152.9,130.39,130.39,125.6,130.39
2025-10-01 18:45:00,205.92,112.59,112.59,109.0,112.59
2025-10-01 19:00:00,152.61,131.38,131.38,127.13,131.38
2025-10-01 19:15:00,207.18,122.43,122.43,118.48,122.43
2025-10-01 19:30:00,285.32,103.89,103.89,100.95,103.89
2025-10-01 19:45:00,379.26,99.05,99.05,96.32,99.05
2025-10-01 20:00:00,418.0,108.08,108.08,105.07,109.23
2025-10-01 20:15:00,374.51,100.74,100.74,98.0,102.0
2025-10-01 20:30:00,320.4,94.56,94.56,92.08,95.43
2025-10-01 20:45:00,252.0,88.78,88.78,86.44,89.0
2025-10-01 21:00:00,217.1,92.68,92.68,90.24,94.76
2025-10-01 21:15:00,154.68,90.79,90.79,88.48,92.05
2025-10-01 21:30:00,130.39,88.6,88.6,86.38,91.2
2025-10-01 21:45:00,112.59,84.44,84.44,82.54,85.85
2025-10-01 22:00:00,131.38,98.75,98.75,96.28,99.66
2025-10-01 22:15:00,122.43,90.32,90.32,88.09,91.57
2025-10-01 22:30:00,103.89,85.15,85.15,83.3,86.76
2025-10-01 22:45:00,99.05,85.64,85.19,83.62,87.89
2025-10-01 23:00:00,108.08,88.26,88.26,86.19,95.03
2025-10-01 23:15:00,100.74,87.57,85.17,85.45,93.01
2025-10-01 23:30:00,94.56,83.5,83.5,81.89,93.01
2025-10-01 23:45:00,88.78,73.0,73.0,72.47,93.01
2025-10-02 00:00:00,92.68,72.05,72.05,71.31,95.53
2025-10-02 00:15:00,90.79,71.55,71.55,71.04,93.01
2025-10-02 00:30:00,88.6,70.27,70.27,69.95,93.3
2025-10-02 00:45:00,84.44,68.83,68.83,68.77,93.01
2025-10-02 01:00:00,98.75,72.4,72.4,71.71,93.01
2025-10-02 01:15:00,90.32,72.22,72.22,71.52,93.01
2025-10-02 01:30:00,85.15,73.29,73.29,72.47,93.74
2025-10-02 01:45:00,85.64,78.73,78.73,77.35,93.01
2025-10-02 02:00:00,88.26,84.25,84.25,82.24,93.01
2025-10-02 02:15:00,87.57,85.79,85.79,83.75,92.25
2025-10-02 02:30:00,83.5,85.02,85.02,83.04,93.42
2025-10-02 02:45:00,73.0,88.59,88.59,86.4,93.66
2025-10-02 03:00:00,72.05,86.5,86.5,85.48,86.5
2025-10-02 03:15:00,71.55,90.6,90.6,86.91,90.6
2025-10-02 03:30:00,70.27,97.27,97.27,93.41,97.27
2025-10-02 03:45:00,68.83,112.84,112.84,108.38,112.84
2025-10-02 04:00:00,72.4,96.93,96.93,94.33,96.93
2025-10-02 04:15:00,72.22,119.77,119.77,116.32,119.77
2025-10-02 04:30:00,73.29,137.13,137.13,133.13,137.13
2025-10-02 04:45:00,78.73,172.26,172.26,167.29,172.26
2025-10-02 05:00:00,84.25,179.45,179.45,176.44,174.21
2025-10-02 05:15:00,85.79,200.42,200.42,197.79,200.21
2025-10-02 05:30:00,85.02,189.99,189.99,187.01,189.99
2025-10-02 05:45:00,88.59,166.95,166.95,163.44,165.09
2025-10-02 06:00:00,86.5,191.89,191.89,188.58,151.75
2025-10-02 06:15:00,90.6,155.92,155.92,151.83,148.99
2025-10-02 06:30:00,97.27,119.39,119.39,116.74,116.21
2025-10-02 06:45:00,112.84,102.72,102.72,100.8,91.91
2025-10-02 07:00:00,96.93,127.69,95.29,124.68,121.82
2025-10-02 07:15:00,119.77,116.82,116.82,114.07,110.85
2025-10-02 07:30:00,137.13,93.92,93.92,92.62,92.07
2025-10-02 07:45:00,172.26,82.08,82.08,81.63,74.35
2025-10-02 08:00:00,179.45,104.89,104.89,102.89,101.46
2025-10-02 08:15:00,200.42,102.73,102.73,100.85,99.11
2025-10-02 08:30:00,189.99,87.15,87.15,86.42,84.8
2025-10-02 08:45:00,166.95,82.58,82.58,77.96,76.78
2025-10-02 09:00:00,191.89,95.3,95.3,92.48,92.17
2025-10-02 09:15:00,155.92,87.31,87.31,83.65,83.6
