datetime,price,lv_price,ee_price,se4_price,pl_price
2022-01-01 00:00:00,57.98,41.33,41.33,41.33,49.37
2022-01-01 01:00:00,50.05,42.18,42.18,42.18,43.22
2022-01-01 02:00:00,41.33,44.37,44.37,44.37,45.46
2022-01-01 03:00:00,42.18,37.67,37.67,37.67,37.67
2022-01-01 04:00:00,44.37,39.7,39.7,39.7,39.7
2022-01-01 05:00:00,37.67,40.59,40.59,40.59,40.59
2022-01-01 06:00:00,39.7,43.26,43.26,43.26,43.26
2022-01-01 07:00:00,40.59,49.66,49.66,49.66,49.66
2022-01-01 08:00:00,43.26,70.05,70.05,70.05,70.05
2022-01-01 09:00:00,49.66,76.79,76.79,76.79,76.79
2022-01-01 10:00:00,70.05,84.1,84.1,84.1,84.1
2022-01-01 11:00:00,76.79,94.74,94.74,94.74,94.74
2022-01-01 12:00:00,84.1,96.8,96.8,96.8,96.8
2022-01-01 13:00:00,94.74,97.17,97.17,97.17,97.17
2022-01-01 14:00:00,96.8,101.27,101.27,101.27,101.0
2022-01-01 15:00:00,97.17,126.6,126.6,126.6,126.6
2022-01-01 16:00:00,101.27,149.97,149.97,149.97,149.97
2022-01-01 17:00:00,126.6,146.33,146.33,146.33,146.33
2022-01-01 18:00:00,149.97,140.28,140.28,140.28,140.28
2022-01-01 19:00:00,146.33,121.88,121.88,121.88,121.88
2022-01-01 20:00:00,140.28,102.61,102.61,102.61,102.61
2022-01-01 21:00:00,121.88,97.46,97.46,95.12,97.46
2022-01-01 22:00:00,102.61,85.16,85.16,83.11,85.16
2022-01-01 23:00:00,97.46,57.08,57.08,34.73,89.89
2022-01-02 00:00:00,85.16,55.09,55.09,34.39,80.15
2022-01-02 01:00:00,57.08,52.82,52.82,34.36,62.75
2022-01-02 02:00:00,55.09,34.94,34.94,34.1,54.87
2022-01-02 03:00:00,52.82,29.56,29.56,29.56,50.5
2022-01-02 04:00:00,34.94,53.01,53.01,33.97,50.89
2022-01-02 05:00:00,29.56,34.52,34.52,34.52,56.15
2022-01-02 06:00:00,53.01,41.8,41.8,41.8,60.91
2022-01-02 07:00:00,34.52,48.95,48.95,48.95,65.54
2022-01-02 08:00:00,41.8,60.01,60.01,60.01,86.18
2022-01-02 09:00:00,48.95,70.09,70.09,70.09,89.71
2022-01-02 10:00:00,60.01,66.26,66.26,66.26,91.12
2022-01-02 11:00:00,70.09,64.54,64.54,64.54,91.4
2022-01-02 12:00:00,66.26,46.96,46.96,46.96,91.44
2022-01-02 13:00:00,64.54,65.19,65.19,49.06,86.25
2022-01-02 14:00:00,46.96,81.09,81.09,74.99,81.09
