model,data,mae,rmse,r2,smape,train_start,train_end,test_start,test_end
Ensemble,15min_clean,10.940832454193274,21.851684139569638,0.8823305595553785,18.94096826893921,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
CatBoost,15min_clean,10.978890747010329,21.77055900868237,0.8807026412944532,18.96161932646724,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LightGBM,15min_clean,12.444225932186418,22.71725917773425,0.8701016804892168,21.56867641633712,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
XGBoost,15min_clean,12.803984727083336,23.707693666324232,0.8585280691747778,23.186599173475507,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
MLP,15min_clean,17.827071379861113,26.875691951048612,0.8181928428047265,31.968663444555357,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LSTM,15min_clean,21.124428588758523,29.41879130045141,0.7867232576452359,37.64405055067789,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
Ensemble,15min_extended,10.982453172288496,21.80800716345299,0.8828004829686497,20.078450822492037,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
CatBoost,15min_extended,11.011768635322408,21.83400171466184,0.8800063270476839,19.86083331041248,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LightGBM,15min_extended,12.517560001271027,22.27832250943411,0.8750729052652995,22.370406872729188,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
XGBoost,15min_extended,13.246314516666668,22.719978720878874,0.8700705776852518,24.60531547299543,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
MLP,15min_extended,17.960898785361113,27.3946105767942,0.8111043619818281,32.88517188346167,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LSTM,15min_extended,30.219417962693182,37.53617897343367,0.6527886045649004,48.74113115874763,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
Ensemble,hourly_clean,8.736139434285713,12.843130995543916,0.9560132223251251,19.737041290875602,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LSTM,hourly_clean,9.324253404502977,12.386782356127991,0.9590836091117428,21.177960288702987,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LightGBM,hourly_clean,11.886443169903258,22.15821002310708,0.8621157839549523,20.679352950334472,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
XGBoost,hourly_clean,11.914880139361111,21.782027230188646,0.8667577988468631,21.392074982279954,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
CatBoost,hourly_clean,12.380875925594045,23.04174737743229,0.8509005549415194,22.525660477836777,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
MLP,hourly_clean,14.935854348472226,23.703705422577386,0.8422106496941649,27.396019662143186,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
Ensemble,hourly_extended,5.9254663073154745,8.969674046367073,0.978544746695027,14.976683663972063,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
XGBoost,hourly_extended,6.640569206555556,11.123142165072725,0.9652543707449481,15.723285211579938,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LightGBM,hourly_extended,7.112284102527877,12.578485176352892,0.9555673833302124,15.750080003128867,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
CatBoost,hourly_extended,8.311693284905042,15.043225363492308,0.9364483063703261,16.693445447442066,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
LSTM,hourly_extended,8.567641060752976,11.062093023672853,0.9673671565336022,19.833380104773354,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
MLP,hourly_extended,14.305520947222224,18.16894825036284,0.9072946535555784,31.334876114250793,2022-01-01,2026-02-28 23:59:59,2026-03-01,2026-03-15 23:59:59
