datetime,lv_price,ee_price,se4_price,pl_price
2021-01-01 00:00:00,,24.35,24.35,
2021-01-01 01:00:00,,23.98,23.98,
2021-01-01 02:00:00,,23.72,23.72,
2021-01-01 03:00:00,,23.73,23.73,
2021-01-01 04:00:00,,24.06,24.06,
2021-01-01 05:00:00,,24.44,24.44,
2021-01-01 06:00:00,,24.93,24.93,
2021-01-01 07:00:00,,24.9,24.9,
2021-01-01 08:00:00,,25.07,25.07,
2021-01-01 09:00:00,,30.02,30.02,
2021-01-01 10:00:00,,37.14,37.14,
2021-01-01 11:00:00,,39.05,39.05,
2021-01-01 12:00:00,,40.59,40.59,
2021-01-01 13:00:00,,40.79,40.79,
2021-01-01 14:00:00,,45.47,45.47,
2021-01-01 15:00:00,,51.72,51.72,
2021-01-01 16:00:00,,55.39,55.39,
2021-01-01 17:00:00,,53.01,53.01,
2021-01-01 18:00:00,,55.74,55.74,
2021-01-01 19:00:00,,54.94,54.94,
2021-01-01 20:00:00,,50.82,50.82,
2021-01-01 21:00:00,,45.22,45.22,
2021-01-01 22:00:00,,25.64,25.64,
2021-01-01 23:00:00,,25.59,25.59,
2021-01-02 00:00:00,,24.91,24.91,
2021-01-02 01:00:00,,24.74,24.74,
2021-01-02 02:00:00,,24.66,24.66,
2021-01-02 03:00:00,,24.72,24.72,
2021-01-02 04:00:00,,24.92,24.92,
2021-01-02 05:00:00,,30.05,30.05,
2021-01-02 06:00:00,,26.19,26.19,
2021-01-02 07:00:00,,43.3,43.3,
2021-01-02 08:00:00,,47.85,47.85,
2021-01-02 09:00:00,,50.75,50.75,
2021-01-02 10:00:00,,50.9,50.9,
2021-01-02 11:00:00,,53.75,53.75,
2021-01-02 12:00:00,,50.75,50.75,
2021-01-02 13:00:00,,49.48,49.48,
2021-01-02 14:00:00,,52.16,52.16,
2021-01-02 15:00:00,,58.88,58.88,
2021-01-02 16:00:00,,60.51,60.51,
2021-01-02 17:00:00,,61.56,61.56,
2021-01-02 18:00:00,,56.17,56.17,
2021-01-02 19:00:00,,55.01,55.01,
2021-01-02 20:00:00,,52.6,52.6,
2021-01-02 21:00:00,,47.13,47.13,
2021-01-02 22:00:00,,39.56,39.56,
2021-01-02 23:00:00,,25.27,25.27,
2021-01-03 00:00:00,,24.59,24.59,
2021-01-03 01:00:00,,23.86,23.86,
2021-01-03 02:00:00,,23.57,23.57,
2021-01-03 03:00:00,,23.49,23.49,
2021-01-03 04:00:00,,23.85,23.85,
2021-01-03 05:00:00,,24.05,24.05,
2021-01-03 06:00:00,,24.8,24.8,
2021-01-03 07:00:00,,24.97,24.97,
2021-01-03 08:00:00,,25.65,25.65,
2021-01-03 09:00:00,,36.64,26.0,
2021-01-03 10:00:00,,36.73,26.89,
2021-01-03 11:00:00,,36.83,25.87,
2021-01-03 12:00:00,,36.31,25.83,
2021-01-03 13:00:00,,35.55,26.02,
2021-01-03 14:00:00,,36.76,26.5,
2021-01-03 15:00:00,,43.33,33.27,
2021-01-03 16:00:00,,44.45,43.96,
2021-01-03 17:00:00,,43.35,43.35,
2021-01-03 18:00:00,,42.45,27.92,
2021-01-03 19:00:00,,36.95,27.56,
2021-01-03 20:00:00,,34.79,27.04,
2021-01-03 21:00:00,,26.18,26.18,
2021-01-03 22:00:00,,24.92,24.92,
2021-01-03 23:00:00,,24.66,24.66,
2021-01-04 00:00:00,,24.05,24.05,
2021-01-04 01:00:00,,23.88,23.88,
2021-01-04 02:00:00,,24.03,24.03,
2021-01-04 03:00:00,,24.58,24.58,
2021-01-04 04:00:00,,25.84,25.84,
2021-01-04 05:00:00,,28.21,28.21,
2021-01-04 06:00:00,,49.76,49.76,
2021-01-04 07:00:00,,54.42,54.42,
2021-01-04 08:00:00,,55.69,55.69,
2021-01-04 09:00:00,,55.4,55.8,
2021-01-04 10:00:00,,56.53,58.27,
2021-01-04 11:00:00,,52.07,57.52,
2021-01-04 12:00:00,,56.53,56.53,
2021-01-04 13:00:00,,57.99,57.99,
2021-01-04 14:00:00,,58.03,58.03,
2021-01-04 15:00:00,,60.5,60.5,
2021-01-04 16:00:00,,65.22,65.22,
2021-01-04 17:00:00,,60.05,60.05,
2021-01-04 18:00:00,,53.73,53.73,
2021-01-04 19:00:00,,37.68,37.68,
2021-01-04 20:00:00,,38.49,38.49,
2021-01-04 21:00:00,,30.95,30.95,
2021-01-04 22:00:00,,27.35,27.35,
2021-01-04 23:00:00,,27.81,27.81,
2021-01-05 00:00:00,,27.45,27.45,
2021-01-05 01:00:00,,27.08,27.08,
2021-01-05 02:00:00,,27.14,27.14,
2021-01-05 03:00:00,,27.79,27.79,
2021-01-05 04:00:00,,29.81,29.81,
2021-01-05 05:00:00,,35.78,35.78,
2021-01-05 06:00:00,,53.64,53.64,
2021-01-05 07:00:00,,60.0,60.0,
2021-01-05 08:00:00,,60.12,60.12,
2021-01-05 09:00:00,,61.18,61.18,
2021-01-05 10:00:00,,62.46,62.46,
2021-01-05 11:00:00,,61.48,61.48,
2021-01-05 12:00:00,,62.29,62.29,
2021-01-05 13:00:00,,62.04,62.04,
2021-01-05 14:00:00,,62.51,62.51,
2021-01-05 15:00:00,,64.26,64.26,
2021-01-05 16:00:00,,65.6,65.6,
2021-01-05 17:00:00,,60.13,60.13,
2021-01-05 18:00:00,,54.66,54.66,
2021-01-05 19:00:00,,40.78,40.78,
2021-01-05 20:00:00,,39.6,39.6,
2021-01-05 21:00:00,,32.06,32.06,
2021-01-05 22:00:00,,29.21,29.21,
2021-01-05 23:00:00,,29.83,29.83,
2021-01-06 00:00:00,,28.72,28.72,
2021-01-06 01:00:00,,28.11,28.11,
2021-01-06 02:00:00,,27.98,27.98,
2021-01-06 03:00:00,,28.16,28.16,
2021-01-06 04:00:00,,29.0,29.0,
2021-01-06 05:00:00,,30.72,30.72,
2021-01-06 06:00:00,,35.54,35.54,
2021-01-06 07:00:00,,39.18,39.18,
2021-01-06 08:00:00,,41.88,41.88,
2021-01-06 09:00:00,,46.07,46.07,
2021-01-06 10:00:00,,45.27,45.27,
2021-01-06 11:00:00,,46.21,46.21,
2021-01-06 12:00:00,,47.35,47.35,
2021-01-06 13:00:00,,51.31,51.31,
2021-01-06 14:00:00,,54.9,54.9,
2021-01-06 15:00:00,,58.4,58.4,
2021-01-06 16:00:00,,59.93,59.93,
2021-01-06 17:00:00,,55.67,55.67,
2021-01-06 18:00:00,,50.25,50.25,
2021-01-06 19:00:00,,39.84,39.84,
2021-01-06 20:00:00,,39.93,39.93,
2021-01-06 21:00:00,,38.7,38.7,
2021-01-06 22:00:00,,32.5,32.5,
2021-01-06 23:00:00,,43.08,43.08,
2021-01-07 00:00:00,,40.9,40.9,
2021-01-07 01:00:00,,39.19,39.19,
2021-01-07 02:00:00,,39.78,39.78,
2021-01-07 03:00:00,,41.28,41.28,
2021-01-07 04:00:00,,45.54,45.54,
2021-01-07 05:00:00,,55.97,55.97,
2021-01-07 06:00:00,,67.8,67.8,
2021-01-07 07:00:00,,84.43,84.43,
2021-01-07 08:00:00,,83.86,83.86,
2021-01-07 09:00:00,,82.44,82.44,
2021-01-07 10:00:00,,85.99,85.99,
2021-01-07 11:00:00,,84.71,84.71,
2021-01-07 12:00:00,,82.29,82.29,
2021-01-07 13:00:00,,78.62,78.62,
2021-01-07 14:00:00,,81.57,81.57,
2021-01-07 15:00:00,,89.68,89.68,
2021-01-07 16:00:00,,99.91,99.91,
2021-01-07 17:00:00,,84.62,84.62,
2021-01-07 18:00:00,,77.79,77.79,
2021-01-07 19:00:00,,65.2,65.2,
2021-01-07 20:00:00,,59.33,59.33,
2021-01-07 21:00:00,,58.26,58.26,
2021-01-07 22:00:00,,50.99,50.99,
2021-01-07 23:00:00,,49.31,49.31,
2021-01-08 00:00:00,,47.38,47.38,
2021-01-08 01:00:00,,45.78,45.78,
2021-01-08 02:00:00,,44.51,44.51,
2021-01-08 03:00:00,,45.69,45.69,
2021-01-08 04:00:00,,50.33,50.33,
2021-01-08 05:00:00,,59.71,59.71,
2021-01-08 06:00:00,,79.56,79.56,
2021-01-08 07:00:00,,103.54,103.54,
2021-01-08 08:00:00,,107.8,107.8,
2021-01-08 09:00:00,,107.32,107.32,
2021-01-08 10:00:00,,104.26,104.26,
2021-01-08 11:00:00,,99.91,99.91,
2021-01-08 12:00:00,,95.27,95.27,
2021-01-08 13:00:00,,92.72,92.72,
