"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|PL","Without Sequence","5.75","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|PL","Without Sequence","5.27","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|PL","Without Sequence","5.74","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|PL","Without Sequence","5.22","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|PL","Without Sequence","6.14","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|PL","Without Sequence","5.31","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|PL","Without Sequence","5.99","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|PL","Without Sequence","6.63","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|PL","Without Sequence","6.64","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|PL","Without Sequence","5.17","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|PL","Without Sequence","8.53","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|PL","Without Sequence","10.72","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|PL","Without Sequence","14.06","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|PL","Without Sequence","56.41","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|PL","Without Sequence","91.66","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|PL","Without Sequence","97.81","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|PL","Without Sequence","102.08","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|PL","Without Sequence","106.34","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|PL","Without Sequence","108.73","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|PL","Without Sequence","106.65","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|PL","Without Sequence","107.42","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|PL","Without Sequence","103.81","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|PL","Without Sequence","90.35","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|PL","Without Sequence","96.87","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|PL","Without Sequence","96.07","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|PL","Without Sequence","94.80","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|PL","Without Sequence","94.86","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|PL","Without Sequence","96.87","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|PL","Without Sequence","96.99","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|PL","Without Sequence","140.48","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|PL","Without Sequence","140.64","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|PL","Without Sequence","145.98","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|PL","Without Sequence","147.05","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|PL","Without Sequence","145.61","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|PL","Without Sequence","143.35","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|PL","Without Sequence","144.38","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|PL","Without Sequence","143.76","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|PL","Without Sequence","146.09","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|PL","Without Sequence","145.86","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|PL","Without Sequence","146.63","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|PL","Without Sequence","145.28","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|PL","Without Sequence","145.43","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|PL","Without Sequence","145.54","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|PL","Without Sequence","147.23","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|PL","Without Sequence","141.67","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|PL","Without Sequence","137.54","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|PL","Without Sequence","124.22","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|PL","Without Sequence","130.01","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|PL","Without Sequence","120.00","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|PL","Without Sequence","118.76","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|PL","Without Sequence","115.00","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|PL","Without Sequence","113.63","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|PL","Without Sequence","116.27","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|PL","Without Sequence","138.92","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|PL","Without Sequence","140.83","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|PL","Without Sequence","142.20","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|PL","Without Sequence","141.56","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|PL","Without Sequence","143.34","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|PL","Without Sequence","141.65","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|PL","Without Sequence","143.34","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|PL","Without Sequence","141.59","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|PL","Without Sequence","141.58","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|PL","Without Sequence","170.74","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|PL","Without Sequence","167.72","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|PL","Without Sequence","167.97","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|PL","Without Sequence","159.96","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|PL","Without Sequence","160.99","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|PL","Without Sequence","149.62","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|PL","Without Sequence","143.07","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|PL","Without Sequence","132.52","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|PL","Without Sequence","128.25","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|PL","Without Sequence","130.34","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|PL","Without Sequence","121.78","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|PL","Without Sequence","128.19","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|PL","Without Sequence","121.78","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|PL","Without Sequence","122.94","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|PL","Without Sequence","128.20","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|PL","Without Sequence","138.87","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|PL","Without Sequence","143.03","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|PL","Without Sequence","142.51","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|PL","Without Sequence","141.59","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|PL","Without Sequence","139.31","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|PL","Without Sequence","138.88","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|PL","Without Sequence","135.80","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|PL","Without Sequence","136.74","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|PL","Without Sequence","130.08","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|PL","Without Sequence","130.05","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|PL","Without Sequence","141.03","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|PL","Without Sequence","141.47","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|PL","Without Sequence","141.04","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|PL","Without Sequence","141.47","",""
