feature,importance
lag_1,61.92822446633117
lag_4,7.4256406792180645
minute,2.455281924227413
spread_se4,1.6331214999700567
spread_pl,1.6314324967096152
ee_price_diff_24h,1.1185097416493743
trend_medium,1.0976758230963897
hour_cos,0.7975167981165155
se4_price_lag_7d,0.7412101267616569
rolling_mean_24h,0.7125700694087228
price_zscore_24h,0.6859204646213439
ee_price_rolling_mean_24h,0.676251034535194
rolling_max_24h,0.6646070930728222
price_vs_mean7d,0.6347520319910124
lag_672,0.5415247891792125
timeofday_cos,0.540025192608181
rolling_min_24h,0.5303742837310623
consumption_mw_lag_48h,0.5237999002121644
lag_8,0.4676392514095044
ee_price_rolling_std_24h,0.46151718666269287
consumption_mw_lag_1,0.460043496778951
se4_price_lag_24h,0.4502296293709359
price_jump_1,0.4476381881418662
pl_price_lag_24h,0.41316697015120835
abs_price_jump_1,0.4098421791034167
pl_price_rolling_std_24h,0.3975329067443105
spread_lv,0.371217218774224
range_position_24h,0.3667712970347061
temperature_2m_lag_24h,0.34720215036051155
net_load_mw_lag_1,0.336629531636161
ee_price_lag_24h,0.33553174895238047
production_total_mw_lag_7d,0.3174448352400455
trend_short,0.27797089737117814
lv_price_lag_24h,0.27754164729049613
price_vs_mean24h,0.27721880796645226
price_return_24h,0.268734044662282
price_diff_1,0.26228686225912984
solar_proxy_rolling_std_24h,0.25712935487061034
shortwave_radiation_rolling_mean_24h,0.25103883453265763
se4_price_rolling_mean_24h,0.24431562281228147
lag_96,0.2398662400524226
lv_price_rolling_mean_24h,0.23975043124997067
ee_price_lag_7d,0.23524382871465332
month_sin,0.22762605078779385
lv_price_rolling_std_24h,0.21924656933339243
timeofday_sin,0.21838923281456551
dayofyear,0.2125295853760979
trend_7d,0.20421938490303168
pl_price_lag_7d,0.1952797073797323
consumption_diff_24h,0.18927054119160938
hour_week,0.18861050655741446
trend_24h,0.16793818394934754
temperature_2m_lag_1,0.16484462882734915
ee_price_lag_48h,0.16011461492214876
rolling_std_24h,0.15812989838114913
se4_price_diff_24h,0.15485179974799282
flow_lt_lv_lag_24h,0.14618080926938481
spread_lv_change,0.14379194519593377
lv_price_diff_24h,0.1420967344824687
net_load_mw_rolling_mean_24h,0.13833895962034187
consumption_mw_lag_24h,0.13433907735662717
hour,0.13189140550657857
dayofyear_cos,0.13123567937800762
pl_price_diff_24h,0.12652192050148386
consumption_mw_lag_7d,0.12070787976837888
lv_price_lag_48h,0.12031383075533005
flow_lt_pl_rolling_std_24h,0.11599767831430209
consumption_mw_rolling_mean_24h,0.11057554329579311
flow_lt_se_lag_7d,0.10855557247773565
net_load_mw_lag_24h,0.10841309470045273
flow_lt_pl_rolling_mean_24h,0.1068339082750722
flow_abs_total_rolling_mean_24h,0.10618129199394029
consumption_mw_rolling_std_24h,0.10111364835276966
flow_total_rolling_mean_24h,0.09962850111708957
flow_total_rolling_std_24h,0.09701881319175411
price_return_1,0.09615736342836721
pl_price_rolling_mean_24h,0.09493859124916532
hour_sin,0.09234985030201001
temperature_2m_lag_48h,0.0906758042857382
spread_ee,0.08529589448353685
flow_total_lag_48h,0.07462642445951105
spread_lv_zscore,0.0704681104753767
flow_abs_total_diff_24h,0.06791761576407426
cloud_cover_lag_48h,0.06336259380215203
flow_lt_lv_rolling_mean_24h,0.05778838222935443
wind_speed_10m_rolling_std_24h,0.05489226476374012
flow_lt_se_rolling_std_24h,0.053319289964611036
flow_abs_total_lag_1,0.053310860391449645
shortwave_radiation_lag_1,0.05250690405501159
temperature_2m_rolling_mean_24h,0.05190382244954613
production_total_mw_lag_48h,0.05067495823791292
temperature_2m_rolling_std_24h,0.04993453084927351
pl_price_lag_48h,0.04774168287860027
is_peak_hour,0.047109104570581435
production_diff_24h,0.045453498498542175
flow_abs_total_lag_7d,0.04467112142231407
cloud_cover_rolling_mean_24h,0.04278801497318847
net_load_mw_lag_7d,0.04253846988468605
wind_solar_interaction,0.04228044070452941
flow_lt_lv_lag_48h,0.04128905557174357
flow_total_lag_24h,0.04118450851780052
flow_lt_pl_lag_1,0.04055365556633143
weekday_sin,0.040546975145576626
dayofyear_sin,0.03928633121991819
production_total_mw_lag_1,0.038005772024620195
lv_price_lag_7d,0.03765749744255945
price_diff_24h,0.035117895919326424
cloud_cover_rolling_std_24h,0.03476143972216719
flow_lt_se_lag_1,0.03434053644078074
wind_speed_10m_lag_1,0.034109453790073414
cloud_cover_lag_1,0.032638878283266
flow_lt_pl_lag_48h,0.03237358170855538
solar_proxy_lag_1,0.03121944040970974
weekofyear,0.030816120014471416
shortwave_radiation_rolling_std_24h,0.029727364652393604
month,0.02567043345186933
solar_proxy_lag_48h,0.025201197239594485
flow_total_lag_1,0.0236794434093774
lag1_vs_lag24,0.020123279293120626
flow_lt_se_rolling_mean_24h,0.018852880985329393
solar_proxy_lag_24h,0.017178491523796042
wind_speed_10m_rolling_mean_24h,0.016715605565046407
wind_speed_10m_lag_24h,0.015798375340688682
se4_price_lag_48h,0.01540356869488417
solar_proxy_rolling_mean_24h,0.01524799717992765
net_load_diff_24h,0.015198762086853949
production_total_mw_rolling_std_24h,0.014951098252194516
flow_abs_total_rolling_std_24h,0.014431867365812893
lag_192,0.013793369012776184
production_total_mw_lag_24h,0.0136405064307296
rolling_mean_7d,0.013142316608840956
wind_speed_10m_lag_48h,0.012722764819841529
weekday_cos,0.012146564563499133
rolling_std_7d,0.011579044856768663
shortwave_radiation_lag_24h,0.010829590195498468
solar_cloud_adjusted,0.010592017592215432
flow_lt_se_lag_24h,0.010351066089966996
shortwave_radiation_lag_48h,0.010006103196108451
flow_abs_total_lag_24h,0.009246423774270502
weekday,0.00897426707828868
flow_lt_lv_rolling_std_24h,0.008329823621372473
flow_lt_lv_lag_1,0.008060614450370943
flow_lt_pl_lag_7d,0.006952342955313006
month_cos,0.005572475035070729
price_spike_flag,0.005147629064638299
flow_total_diff_24h,0.005105970608618389
volatility_7d,0.0049896420390413785
se4_price_rolling_std_24h,0.004975446937215641
net_load_mw_lag_48h,0.004564154912264091
volatility_24h,0.0043149800058799245
cloud_cover_lag_24h,0.004051953856872677
flow_lt_pl_lag_24h,0.003649431149183613
net_load_mw_rolling_std_24h,0.002598412223296225
flow_total_lag_7d,0.0024154605514484814
flow_lt_lv_lag_7d,0.0023510374572519753
flow_lt_se_lag_48h,0.0011594236437531564
flow_abs_total_lag_48h,0.0008947559466656685
high_vol_regime,0.00023763400941695628
production_total_mw_rolling_mean_24h,8.910106420709605e-05
is_weekend,0.0
