feature,importance
lag_1,54.65274742068318
lv_price,12.919688924102834
lag_2,6.000388598519767
lag_24,3.2304889033568434
ee_price,2.1139535273802843
lag_168,1.7882488198455913
rolling_mean_24h,1.4496885057201039
se4_price,1.4313751071227858
price_vs_mean7d,1.0509749593686957
trend_short,1.028893213217711
price_jump_1,0.989319513843871
is_peak_hour,0.9535849842938717
rolling_min_24h,0.8676216400495075
pl_price,0.7261290827830479
price_diff_1,0.6775017891912805
price_return_1,0.5686629090403393
lag_48,0.48029732875910564
hour_cos,0.46605157343278325
hour_sin,0.433385996193534
hour,0.4228640424572927
month_cos,0.4015719364790247
dayofyear_cos,0.37550289692057165
lag_3,0.3639949366248616
price_zscore_24h,0.36070236201192674
lag_72,0.35193942824577235
abs_price_jump_1,0.33687584801661175
rolling_mean_7d,0.31781257508210603
rolling_std_7d,0.31730499649197663
rolling_max_24h,0.27624441579856723
trend_medium,0.2672632963169385
range_position_24h,0.2392918775389425
consumption_mw_lag_7d,0.1967558696588389
price_vs_mean24h,0.18525406191297272
rolling_std_24h,0.1718824522380888
consumption_mw_lag_1,0.16128198735964955
trend_7d,0.15691207112214284
trend_24h,0.13691206532446284
net_load_mw_lag_1,0.1309657858137711
production_total_mw_lag_1,0.12791585719078172
hour_week,0.1272401417387594
flow_total_lag_1,0.11596772995946486
price_diff_24h,0.10979883830061624
consumption_mw_rolling_mean_24h,0.10911735225837656
month,0.10561413658837619
production_total_mw_lag_7d,0.10084187318869095
consumption_mw_lag_24h,0.09676518720046984
consumption_diff_24h,0.09527917644314667
price_return_24h,0.08732795395954492
dayofyear,0.08458923361797045
net_load_mw_lag_48h,0.08049455911029908
flow_total_lag_7d,0.07963239703167664
lag1_vs_lag24,0.07843728543276583
flow_lt_pl_rolling_mean_24h,0.07683293238039736
weekday_sin,0.07671443247043583
flow_lt_se_rolling_std_24h,0.075901604347587
production_total_mw_lag_48h,0.07164095330258845
net_load_mw_lag_7d,0.07060989968560764
flow_total_rolling_mean_24h,0.06851364538527367
weekday,0.062057168187732735
flow_lt_pl_lag_1,0.06032306003587973
consumption_mw_lag_48h,0.05999362976616345
volatility_7d,0.05948095751469689
flow_lt_lv_lag_48h,0.058966065476021685
dayofyear_sin,0.05504114394930461
flow_lt_se_lag_7d,0.05414106588504376
flow_lt_lv_lag_24h,0.053649069782579
production_diff_24h,0.0498128974052517
production_total_mw_rolling_mean_24h,0.04797999360328723
weekofyear,0.04769955224846221
flow_lt_se_lag_24h,0.04582862801392829
flow_total_lag_24h,0.04177660987019787
flow_abs_total_rolling_mean_24h,0.039932831399421574
consumption_mw_rolling_std_24h,0.03801343620166649
flow_total_lag_48h,0.0358340587527092
weekday_cos,0.03213221512471638
production_total_mw_rolling_std_24h,0.03118685515908194
net_load_diff_24h,0.030599354259846865
is_weekend,0.02498039194261449
flow_lt_lv_lag_1,0.021117758977610836
flow_lt_pl_lag_48h,0.017705652875858718
flow_lt_se_lag_48h,0.016850518247249993
flow_total_diff_24h,0.01578638826595614
net_load_mw_rolling_mean_24h,0.015106875750778936
production_total_mw_lag_24h,0.014186667726677869
flow_lt_se_lag_1,0.012313218370594238
flow_abs_total_lag_1,0.010560192015148611
net_load_mw_rolling_std_24h,0.010203476197758252
flow_lt_pl_lag_7d,0.009986065921822627
flow_abs_total_lag_48h,0.009921227010838208
flow_lt_pl_rolling_std_24h,0.009308097760630553
volatility_24h,0.009223612783595332
flow_lt_lv_rolling_mean_24h,0.008809503937456392
flow_abs_total_lag_24h,0.0077097440692917695
flow_lt_lv_lag_7d,0.007200256872254302
flow_lt_lv_rolling_std_24h,0.007169544356243232
flow_abs_total_diff_24h,0.0051783355597538215
flow_lt_pl_lag_24h,0.005112680610018352
flow_abs_total_rolling_std_24h,0.0041921602942478625
month_sin,0.0034534574314539226
high_vol_regime,0.0032799033347112104
flow_lt_se_rolling_mean_24h,0.0029775466522767896
flow_total_rolling_std_24h,0.0013874252312455902
net_load_mw_lag_24h,0.0009644341540544215
price_spike_flag,0.0007086893159039676
flow_abs_total_lag_7d,0.0005866897854232738
minute,0.0
