feature,importance
lag_1,55.34171212507777
spread_lv_change,4.427792231887312
lv_price_rolling_mean_24h,4.37496777028571
lag_24,4.278656523604551
spread_lv,3.8123601666062275
lag_2,3.4240671677558576
rolling_mean_24h,3.1136319789350613
lag_3,2.3623615397915962
lv_price_diff_24h,1.8564382390562348
lv_price_lag_24h,1.776745208263974
spread_ee,1.5901069793918843
ee_price_diff_24h,1.0140866160625404
spread_lv_zscore,0.9940491258309181
lag_168,0.9728753488687032
price_diff_1,0.9406209013841671
price_jump_1,0.858202873768171
price_vs_mean7d,0.6428292492569683
se4_price_rolling_mean_24h,0.6358794843277981
ee_price_lag_24h,0.5695109641956659
rolling_mean_7d,0.5424984253913452
month_cos,0.4176863314986109
se4_price_diff_24h,0.41518634801557014
ee_price_lag_48h,0.3804521539038024
rolling_min_24h,0.3694141808773384
is_peak_hour,0.3019827175402062
pl_price_rolling_mean_24h,0.29006412870309556
ee_price_lag_7d,0.21564597860453075
pl_price_lag_24h,0.20737603897407736
pl_price_lag_7d,0.2027555880562901
abs_price_jump_1,0.18549163693838536
ee_price_rolling_mean_24h,0.17696514191028
spread_se4,0.15778512798529565
lag_72,0.15329991501091744
trend_short,0.14446958933854012
hour,0.1370058778119237
dayofyear_cos,0.13504273320108137
price_return_1,0.13435809752982586
pl_price_diff_24h,0.13287843729289256
dayofyear,0.12881748254455103
price_vs_mean24h,0.11956791525795885
price_zscore_24h,0.11952650329859085
shortwave_radiation_lag_48h,0.11592498105377032
hour_cos,0.10251265569591982
net_load_mw_lag_48h,0.07930282442097979
se4_price_lag_7d,0.07829648734366303
lag1_vs_lag24,0.0759140167210933
trend_medium,0.07441953136549032
rolling_max_24h,0.07218972236279399
net_load_mw_lag_1,0.07131089476931958
se4_price_lag_24h,0.06316416448105758
consumption_mw_lag_7d,0.06130875166363463
price_diff_24h,0.05879716983818354
weekofyear,0.051390268012193825
spread_pl,0.050945452334803264
consumption_mw_rolling_mean_24h,0.049736784762306405
hour_sin,0.04638728521870416
shortwave_radiation_lag_1,0.04526265028697177
consumption_mw_lag_24h,0.042686730932194106
trend_24h,0.042273957502877095
flow_lt_pl_rolling_mean_24h,0.04026352872564471
ee_price_rolling_std_24h,0.036792149841605386
production_total_mw_lag_48h,0.034945250226898504
range_position_24h,0.03378444925478055
lag_48,0.03255909227149393
wind_speed_10m_rolling_mean_24h,0.03010725279472583
temperature_2m_rolling_mean_24h,0.02976437123621427
consumption_diff_24h,0.02865505679390418
shortwave_radiation_lag_24h,0.028176866952682143
weekday,0.028076444664774953
lv_price_rolling_std_24h,0.02634779566847477
trend_7d,0.026111455373055144
