weights,w_XGBoost,w_LightGBM,w_CatBoost,w_MLP,w_LSTM,mae,rmse,r2,smape
"{""XGBoost"": 0.0, ""LightGBM"": 0.2, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.2,0.8,0.0,0.0,10.940832454193272,21.851684139569638,0.8823305595553785,18.94096826893921
"{""XGBoost"": 0.0, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.15000000000000002,0.8500000000000001,0.0,0.0,10.943476935463064,21.864136644251598,0.8821964100084417,18.949791015593586
"{""XGBoost"": 0.05, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.15000000000000002,0.8,0.0,0.0,10.948202114863316,21.887709841847247,0.8819422491066127,19.032505258287376
"{""XGBoost"": 0.0, ""LightGBM"": 0.25, ""CatBoost"": 0.75, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.25,0.75,0.0,0.0,10.95110000941445,21.84877058482901,0.8823619359470666,18.968605785433017
"{""XGBoost"": 0.05, ""LightGBM"": 0.1, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.1,0.8500000000000001,0.0,0.0,10.953383791239565,21.902648051097646,0.8817810469331732,19.047178261125495
"{""XGBoost"": 0.05, ""LightGBM"": 0.2, ""CatBoost"": 0.75, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.2,0.75,0.0,0.0,10.955286363401568,21.882292850327616,0.8820006781248033,19.050981748797533
"{""XGBoost"": 0.0, ""LightGBM"": 0.1, ""CatBoost"": 0.9, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.1,0.9,0.0,0.0,10.959981893535065,21.886111816799453,0.881959487306256,18.98382482360203
"{""XGBoost"": 0.1, ""LightGBM"": 0.1, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.1,0.8,0.0,0.0,10.964491013021906,21.929774626800064,0.8814880356734738,19.141238252680004
"{""XGBoost"": 0.1, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.75, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.15000000000000002,0.75,0.0,0.0,10.967470025299688,21.92186432269112,0.881573517318167,19.146195097725265
"{""XGBoost"": 0.1, ""LightGBM"": 0.05, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.05,0.8500000000000001,0.0,0.0,10.971191927320366,21.94718530422447,0.8812997808735317,19.15937155600816
"{""XGBoost"": 0.05, ""LightGBM"": 0.05, ""CatBoost"": 0.9, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.05,0.9,0.0,0.0,10.972579872888637,21.927088018602984,0.8815170716044848,19.088533405304098
"{""XGBoost"": 0.05, ""LightGBM"": 0.25, ""CatBoost"": 0.7000000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.25,0.7000000000000001,0.0,0.0,10.974552722664788,21.886404146183025,0.881956333987745,19.096051126741713
"{""XGBoost"": 0.0, ""LightGBM"": 0.30000000000000004, ""CatBoost"": 0.7000000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.30000000000000004,0.7000000000000001,0.0,0.0,10.97727747671583,21.855399794957222,0.8822905391835055,19.026288755405254
"{""XGBoost"": 0.1, ""LightGBM"": 0.2, ""CatBoost"": 0.7000000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.2,0.7000000000000001,0.0,0.0,10.982342144325463,21.923464675517607,0.8815562258076114,19.18135484119679
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.05, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.15000000000000002,0.05,0.8,0.0,0.0,10.987547532201312,21.977843818708884,0.8809679192559619,19.265081848174283
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.1, ""CatBoost"": 0.75, ""MLP"": 0.0, ""LSTM"": 0.0}",0.15000000000000002,0.1,0.75,0.0,0.0,10.987809577130813,21.967452311395284,0.8810804535271579,19.261415359794018
"{""XGBoost"": 0.0, ""LightGBM"": 0.05, ""CatBoost"": 0.9500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.05,0.9500000000000001,0.0,0.0,10.990229888439456,21.91758101416185,0.8816197914488213,19.04763189494636
"{""XGBoost"": 0.1, ""LightGBM"": 0.0, ""CatBoost"": 0.9, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.0,0.9,0.0,0.0,10.992645081122818,21.974073772736038,0.8810087529183405,19.209180353932396
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.0, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.15000000000000002,0.0,0.8500000000000001,0.0,0.0,10.995888055535017,21.99771180331379,0.880752611829517,19.289136487096787
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.7000000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.15000000000000002,0.15000000000000002,0.7000000000000001,0.0,0.0,10.9995170760889,21.96655073021817,0.8810902146431049,19.289078461851698
