weights,w_XGBoost,w_LightGBM,w_CatBoost,w_MLP,w_LSTM,mae,rmse,r2,smape
"{""XGBoost"": 0.25, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.7000000000000001}",0.25,0.0,0.0,0.05,0.7000000000000001,8.736139434285711,12.843130995543914,0.9560132223251251,19.737041290875602
"{""XGBoost"": 0.2, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.75}",0.2,0.0,0.0,0.05,0.75,8.740404124254463,12.557184775502412,0.9579501071624351,19.93422850193865
"{""XGBoost"": 0.30000000000000004, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.7000000000000001}",0.30000000000000004,0.0,0.0,0.0,0.7000000000000001,8.74559465572321,12.882338430961543,0.9557442472312361,19.47864375744231
"{""XGBoost"": 0.25, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.75}",0.25,0.0,0.0,0.0,0.75,8.745634693311011,12.5893198881978,0.957734611874548,19.686434343324784
"{""XGBoost"": 0.2, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.7000000000000001}",0.2,0.05,0.0,0.05,0.7000000000000001,8.745808217921157,12.872461871663589,0.9558120807250117,19.73151875476588
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.75}",0.15000000000000002,0.05,0.0,0.05,0.75,8.75049766414375,12.589488906609741,0.957733476995651,19.92792512648873
"{""XGBoost"": 0.25, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.7000000000000001}",0.25,0.05,0.0,0.0,0.7000000000000001,8.754410486285591,12.910753728323769,0.955548797112397,19.47202574936323
"{""XGBoost"": 0.2, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.75}",0.2,0.05,0.0,0.0,0.75,8.754887713131312,12.620696264698635,0.9575236731890383,19.679027102512155
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.7000000000000001}",0.15000000000000002,0.1,0.0,0.05,0.7000000000000001,8.757296600329461,12.9055003807187,0.9555849638794703,19.727711396511477
"{""XGBoost"": 0.1, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.75}",0.1,0.1,0.0,0.05,0.75,8.762367387961612,12.625568381017759,0.957490871583439,19.92393298455085
"{""XGBoost"": 0.2, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.7000000000000001}",0.2,0.1,0.0,0.0,0.7000000000000001,8.763560648743754,12.94287003672636,0.9553273717481301,19.465014538325125
"{""XGBoost"": 0.2, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.05, ""LSTM"": 0.7000000000000001}",0.2,0.0,0.05,0.05,0.7000000000000001,8.76365608533346,12.907092965572506,0.9555740012548253,19.70783340495427
"{""XGBoost"": 0.30000000000000004, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.65}",0.30000000000000004,0.0,0.0,0.05,0.65,8.764601836281248,13.2045366865825,0.953502815232287,19.576741713981136
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.75}",0.15000000000000002,0.1,0.0,0.0,0.75,8.765237438308755,12.655843620033755,0.9572867592581008,19.672721753554757
"{""XGBoost"": 0.2, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.8}",0.2,0.0,0.0,0.0,0.8,8.76577617375595,12.376508316198375,0.959151454262332,19.91285032539579
"{""XGBoost"": 0.2, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.1, ""LSTM"": 0.7000000000000001}",0.2,0.0,0.0,0.1,0.7000000000000001,8.76610253844345,12.83826275694699,0.9560465627222543,20.024758864157764
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.1, ""LSTM"": 0.75}",0.15000000000000002,0.0,0.0,0.1,0.75,8.767647743293153,12.560191489530952,0.9579299677535624,20.197613921573655
"{""XGBoost"": 0.25, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.0, ""LSTM"": 0.7000000000000001}",0.25,0.0,0.05,0.0,0.7000000000000001,8.76932291658243,12.94736124200938,0.955296363362253,19.447419452349987
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.8}",0.15000000000000002,0.0,0.0,0.05,0.8,8.770185384758927,12.351939777198126,0.959313469744217,20.158114410732082
"{""XGBoost"": 0.1, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.7000000000000001}",0.1,0.15000000000000002,0.0,0.05,0.7000000000000001,8.770647625853892,12.94221812853553,0.9553318717885012,19.725915751845495
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.05, ""LSTM"": 0.75}",0.15000000000000002,0.0,0.05,0.05,0.75,8.770720912555326,12.625931976360377,0.9574884231639779,19.90885767626184
