weights,w_XGBoost,w_LightGBM,w_CatBoost,w_MLP,w_LSTM,mae,rmse,r2,smape
"{""XGBoost"": 0.7000000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.25}",0.7000000000000001,0.0,0.0,0.05,0.25,5.9254663073154745,8.969674046367073,0.978544746695027,14.976683663972063
"{""XGBoost"": 0.75, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.25}",0.75,0.0,0.0,0.0,0.25,5.932548983125001,8.985820928989908,0.9784674312262034,14.844223254944092
"{""XGBoost"": 0.65, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.25}",0.65,0.05,0.0,0.05,0.25,5.935910616216675,9.000437162149362,0.9783973249972273,14.90966299521371
"{""XGBoost"": 0.7000000000000001, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.25}",0.7000000000000001,0.05,0.0,0.0,0.25,5.9372786075664505,9.011678881337676,0.9783433269825456,14.468717554568276
"{""XGBoost"": 0.65, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.30000000000000004}",0.65,0.0,0.0,0.05,0.30000000000000004,5.940931539333332,8.787073831219518,0.9794094060347801,15.17700863588447
"{""XGBoost"": 0.65, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.25}",0.65,0.1,0.0,0.0,0.25,5.946228542413722,9.04301175140801,0.9781924682159369,14.67581634387737
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.30000000000000004}",0.6000000000000001,0.05,0.0,0.05,0.30000000000000004,5.947945315810942,8.81606716990125,0.9792733027144858,15.116707759562404
"{""XGBoost"": 0.7000000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.30000000000000004}",0.7000000000000001,0.0,0.0,0.0,0.30000000000000004,5.949144127642853,8.808460224887522,0.9793090553515965,15.092908720851561
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.25}",0.6000000000000001,0.1,0.0,0.05,0.25,5.9498041117376665,9.036648300382657,0.9782231487764769,14.855504860394472
"{""XGBoost"": 0.75, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.2}",0.75,0.0,0.0,0.05,0.2,5.95227524047619,9.194820530462886,0.9774541383629598,14.800883787207203
"{""XGBoost"": 0.65, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.30000000000000004}",0.65,0.05,0.0,0.0,0.30000000000000004,5.954295876428688,8.832434955496684,0.9791962694854439,14.877176798374517
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.25}",0.6000000000000001,0.15000000000000002,0.0,0.0,0.25,5.957044135844356,9.07976286007187,0.9780148549263772,14.710349390220015
"{""XGBoost"": 0.55, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.30000000000000004}",0.55,0.1,0.0,0.05,0.30000000000000004,5.957170288731625,8.850635059497137,0.9791104448712404,15.06597905366655
"{""XGBoost"": 0.8, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.2}",0.8,0.0,0.0,0.0,0.2,5.957405326047618,9.205882364494073,0.9773998581084963,14.586406724600534
"{""XGBoost"": 0.75, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.2}",0.75,0.05,0.0,0.0,0.2,5.959138385190511,9.233422517365799,0.9772644354873332,14.561441216616075
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.30000000000000004}",0.6000000000000001,0.1,0.0,0.0,0.30000000000000004,5.961554155950861,8.8620070941077,0.9790567290963405,14.965772720362322
"{""XGBoost"": 0.7000000000000001, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.2}",0.7000000000000001,0.05,0.0,0.05,0.2,5.962192217414049,9.227133031552663,0.977295398287655,14.723593502324817
"{""XGBoost"": 0.55, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.25}",0.55,0.15000000000000002,0.0,0.05,0.25,5.9651490560618585,9.078242268363386,0.9780222180327754,14.807578783320935
