feature,importance
lag_1,1307
lag_4,1016
trend_medium,878
minute,627
trend_short,581
lv_price,579
price_diff_1,451
consumption_diff_24h,440
price_vs_mean24h,428
ee_price,387
abs_price_jump_1,385
price_diff_24h,354
timeofday_sin,345
timeofday_cos,317
price_vs_mean7d,295
trend_7d,293
lag_8,269
consumption_mw_rolling_mean_24h,269
lag_96,262
pl_price,242
se4_price,225
lag_672,214
price_return_1,210
rolling_max_24h,193
price_zscore_24h,189
rolling_std_24h,175
net_load_mw_lag_1,169
range_position_24h,165
lag_192,164
flow_lt_pl_lag_1,151
consumption_mw_lag_1,143
consumption_mw_lag_7d,139
flow_abs_total_rolling_std_24h,134
production_total_mw_lag_48h,128
consumption_mw_lag_48h,124
hour_week,120
production_total_mw_lag_1,114
price_jump_1,113
production_total_mw_rolling_mean_24h,112
flow_abs_total_diff_24h,110
flow_lt_lv_lag_7d,109
flow_abs_total_lag_7d,109
flow_abs_total_lag_48h,108
price_return_24h,107
net_load_diff_24h,102
rolling_mean_24h,101
net_load_mw_lag_24h,101
consumption_mw_lag_24h,100
flow_abs_total_lag_1,100
flow_lt_pl_lag_7d,99
flow_lt_pl_rolling_std_24h,96
flow_lt_lv_rolling_std_24h,91
flow_total_diff_24h,90
hour_sin,90
production_diff_24h,86
flow_total_lag_1,81
net_load_mw_rolling_std_24h,80
production_total_mw_lag_7d,78
trend_24h,78
flow_lt_pl_rolling_mean_24h,76
net_load_mw_lag_48h,75
dayofyear_sin,73
flow_lt_lv_lag_1,71
flow_abs_total_rolling_mean_24h,70
net_load_mw_lag_7d,65
flow_lt_lv_lag_24h,65
rolling_mean_7d,64
production_total_mw_lag_24h,62
flow_total_lag_24h,62
flow_lt_pl_lag_48h,60
flow_total_rolling_mean_24h,60
flow_lt_lv_lag_48h,57
flow_total_rolling_std_24h,55
hour,54
flow_total_lag_7d,52
consumption_mw_rolling_std_24h,52
dayofyear_cos,51
flow_abs_total_lag_24h,51
production_total_mw_rolling_std_24h,50
rolling_std_7d,49
hour_cos,48
flow_lt_se_lag_7d,48
flow_lt_se_lag_24h,46
net_load_mw_rolling_mean_24h,45
flow_lt_se_lag_1,43
flow_lt_lv_rolling_mean_24h,42
flow_lt_se_rolling_std_24h,42
flow_lt_se_rolling_mean_24h,41
rolling_min_24h,40
flow_lt_pl_lag_24h,38
volatility_24h,32
flow_lt_se_lag_48h,27
flow_total_lag_48h,21
dayofyear,21
lag1_vs_lag24,18
is_peak_hour,17
weekday_sin,10
weekday,8
month_sin,8
high_vol_regime,7
weekday_cos,5
volatility_7d,5
weekofyear,4
month,2
is_weekend,0
month_cos,0
price_spike_flag,0
