feature,importance
lag_1,1141
trend_medium,779
minute,642
lag_4,560
spread_lv,515
spread_ee,457
lv_price_rolling_std_24h,410
ee_price_rolling_std_24h,401
price_diff_1,360
trend_short,358
abs_price_jump_1,356
spread_lv_change,352
timeofday_cos,344
consumption_diff_24h,321
spread_se4,306
wind_speed_10m_lag_1,294
price_vs_mean24h,289
price_diff_24h,234
price_vs_mean7d,233
price_return_1,213
timeofday_sin,208
lag_96,198
spread_pl,189
lv_price_diff_24h,188
trend_7d,181
spread_lv_zscore,169
range_position_24h,159
rolling_std_24h,158
net_load_mw_lag_1,156
lag_672,145
consumption_mw_lag_1,140
se4_price_diff_24h,134
price_zscore_24h,132
consumption_mw_lag_7d,132
lag_8,131
ee_price_diff_24h,127
pl_price_lag_48h,121
lv_price_rolling_mean_24h,114
lv_price_lag_7d,111
lag_192,111
pl_price_lag_24h,111
price_return_24h,105
se4_price_lag_7d,105
se4_price_lag_24h,102
wind_speed_10m_rolling_mean_24h,100
consumption_mw_lag_48h,97
se4_price_rolling_mean_24h,95
pl_price_diff_24h,90
flow_lt_pl_lag_1,88
pl_price_lag_7d,87
lv_price_lag_48h,83
flow_lt_lv_lag_7d,81
flow_lt_lv_rolling_std_24h,80
production_total_mw_lag_1,79
consumption_mw_rolling_mean_24h,75
consumption_mw_lag_24h,74
flow_abs_total_diff_24h,74
rolling_max_24h,71
flow_abs_total_rolling_std_24h,68
hour_week,68
price_jump_1,67
net_load_diff_24h,67
flow_lt_pl_rolling_std_24h,66
hour_sin,66
lv_price_lag_24h,65
temperature_2m_lag_24h,62
net_load_mw_lag_48h,62
production_diff_24h,59
flow_lt_pl_lag_7d,57
ee_price_lag_7d,57
flow_abs_total_lag_7d,56
flow_lt_lv_lag_48h,54
flow_abs_total_lag_1,53
flow_total_diff_24h,52
flow_abs_total_lag_48h,52
se4_price_rolling_std_24h,52
cloud_cover_lag_24h,52
flow_lt_lv_lag_1,51
ee_price_rolling_mean_24h,50
solar_proxy_rolling_std_24h,49
production_total_mw_lag_24h,49
flow_lt_pl_lag_48h,49
wind_speed_10m_rolling_std_24h,49
shortwave_radiation_lag_48h,49
se4_price_lag_48h,48
flow_lt_pl_lag_24h,48
flow_lt_se_lag_24h,47
rolling_mean_24h,47
hour_cos,46
temperature_2m_lag_48h,45
hour,45
net_load_mw_lag_7d,45
pl_price_rolling_mean_24h,43
net_load_mw_rolling_std_24h,43
shortwave_radiation_rolling_std_24h,43
flow_total_lag_1,42
flow_lt_lv_lag_24h,42
production_total_mw_lag_7d,41
trend_24h,39
wind_speed_10m_lag_24h,39
temperature_2m_rolling_std_24h,37
ee_price_lag_24h,37
net_load_mw_lag_24h,37
net_load_mw_rolling_mean_24h,36
production_total_mw_rolling_std_24h,36
flow_total_lag_7d,36
wind_speed_10m_lag_48h,35
temperature_2m_lag_1,34
wind_solar_interaction,34
flow_lt_lv_rolling_mean_24h,33
consumption_mw_rolling_std_24h,33
flow_lt_pl_rolling_mean_24h,33
flow_lt_se_lag_48h,32
volatility_24h,31
production_total_mw_rolling_mean_24h,31
shortwave_radiation_rolling_mean_24h,31
production_total_mw_lag_48h,31
flow_lt_se_lag_1,31
flow_abs_total_lag_24h,31
shortwave_radiation_lag_1,30
cloud_cover_rolling_mean_24h,30
cloud_cover_lag_48h,30
dayofyear_cos,30
solar_proxy_rolling_mean_24h,29
flow_abs_total_rolling_mean_24h,29
flow_total_lag_24h,29
ee_price_lag_48h,28
flow_lt_se_lag_7d,28
flow_total_rolling_std_24h,26
flow_lt_se_rolling_mean_24h,25
rolling_min_24h,24
flow_lt_se_rolling_std_24h,24
shortwave_radiation_lag_24h,23
flow_total_lag_48h,22
cloud_cover_rolling_std_24h,21
rolling_std_7d,21
cloud_cover_lag_1,20
solar_proxy_lag_1,20
pl_price_rolling_std_24h,18
dayofyear_sin,18
temperature_2m_rolling_mean_24h,17
rolling_mean_7d,17
flow_total_rolling_mean_24h,16
solar_proxy_lag_48h,15
volatility_7d,13
solar_proxy_lag_24h,12
lag1_vs_lag24,11
is_peak_hour,8
solar_cloud_adjusted,8
dayofyear,7
month_sin,6
weekday,5
weekday_cos,2
month_cos,1
is_weekend,0
weekofyear,0
weekday_sin,0
month,0
price_spike_flag,0
high_vol_regime,0
