feature,importance
lv_price,1336
lag_1,1109
trend_short,967
price_diff_1,751
pl_price,640
abs_price_jump_1,628
hour,608
lag_24,595
ee_price,572
price_vs_mean7d,559
trend_medium,548
price_diff_24h,512
lag_2,506
hour_sin,496
lag_3,487
lag_168,459
rolling_std_24h,450
se4_price,446
rolling_max_24h,432
trend_7d,432
lag_72,431
price_return_1,407
rolling_min_24h,401
lag_48,365
hour_week,352
flow_lt_pl_lag_1,323
consumption_diff_24h,295
consumption_mw_lag_7d,281
hour_cos,280
consumption_mw_lag_1,258
price_vs_mean24h,256
is_peak_hour,255
flow_total_lag_1,252
price_zscore_24h,252
dayofyear_cos,242
production_diff_24h,230
flow_total_diff_24h,223
net_load_mw_lag_1,223
rolling_mean_7d,220
flow_abs_total_diff_24h,217
range_position_24h,215
flow_abs_total_lag_1,214
flow_lt_lv_lag_1,213
rolling_mean_24h,208
consumption_mw_lag_24h,203
price_return_24h,200
price_jump_1,186
flow_abs_total_lag_7d,185
flow_abs_total_rolling_mean_24h,185
net_load_diff_24h,183
flow_lt_pl_rolling_mean_24h,178
flow_lt_pl_lag_7d,176
flow_lt_lv_lag_7d,173
rolling_std_7d,172
flow_abs_total_lag_24h,170
consumption_mw_lag_48h,170
net_load_mw_rolling_std_24h,170
flow_lt_lv_rolling_std_24h,162
flow_total_lag_7d,161
production_total_mw_lag_1,161
consumption_mw_rolling_mean_24h,159
production_total_mw_lag_7d,158
flow_lt_pl_rolling_std_24h,157
flow_lt_pl_lag_24h,156
flow_lt_lv_lag_48h,155
flow_lt_pl_lag_48h,154
dayofyear_sin,149
flow_abs_total_rolling_std_24h,148
flow_total_rolling_std_24h,147
flow_lt_lv_lag_24h,147
flow_lt_se_rolling_mean_24h,144
flow_abs_total_lag_48h,143
net_load_mw_lag_24h,139
consumption_mw_rolling_std_24h,137
production_total_mw_rolling_std_24h,137
flow_lt_se_rolling_std_24h,135
production_total_mw_lag_24h,135
flow_total_lag_24h,131
flow_lt_se_lag_1,125
net_load_mw_lag_7d,124
flow_total_lag_48h,123
net_load_mw_lag_48h,122
production_total_mw_rolling_mean_24h,117
flow_lt_se_lag_48h,108
trend_24h,102
flow_lt_lv_rolling_mean_24h,97
net_load_mw_rolling_mean_24h,96
flow_total_rolling_mean_24h,91
production_total_mw_lag_48h,90
volatility_24h,89
dayofyear,88
flow_lt_se_lag_7d,84
flow_lt_se_lag_24h,76
month_cos,67
weekday,44
volatility_7d,29
weekday_cos,25
weekday_sin,22
lag1_vs_lag24,21
weekofyear,14
high_vol_regime,12
month_sin,7
month,6
is_weekend,5
price_spike_flag,3
minute,0
