feature,importance
spread_lv_change,2282
spread_lv,1827
price_diff_1,910
lag_1,907
lv_price_rolling_std_24h,732
spread_ee,611
trend_short,498
lag_2,467
spread_lv_zscore,461
lv_price_diff_24h,449
spread_se4,395
abs_price_jump_1,363
price_return_1,360
rolling_max_24h,305
lag_24,300
rolling_std_24h,279
hour,279
rolling_min_24h,273
lv_price_rolling_mean_24h,258
pl_price_diff_24h,252
price_vs_mean7d,250
price_diff_24h,227
ee_price_diff_24h,227
trend_medium,215
lag_168,215
spread_pl,214
lag_3,214
price_jump_1,212
trend_7d,206
ee_price_rolling_std_24h,193
lag_72,184
lag_48,182
lv_price_lag_24h,176
dayofyear_cos,165
hour_sin,163
se4_price_diff_24h,160
flow_lt_lv_lag_1,160
consumption_mw_lag_7d,158
month_cos,145
hour_cos,142
pl_price_lag_48h,142
se4_price_rolling_std_24h,141
temperature_2m_lag_48h,140
shortwave_radiation_lag_48h,140
rolling_mean_24h,136
hour_week,133
ee_price_lag_24h,131
range_position_24h,130
pl_price_lag_7d,129
pl_price_lag_24h,127
flow_abs_total_diff_24h,123
se4_price_lag_48h,118
rolling_mean_7d,113
consumption_mw_lag_1,113
wind_speed_10m_lag_24h,113
lv_price_lag_48h,112
price_zscore_24h,110
temperature_2m_lag_1,107
price_vs_mean24h,107
consumption_mw_rolling_mean_24h,106
flow_lt_pl_lag_1,106
dayofyear,105
shortwave_radiation_lag_24h,105
wind_speed_10m_lag_1,104
consumption_diff_24h,102
flow_total_diff_24h,99
se4_price_lag_7d,98
flow_abs_total_rolling_std_24h,96
flow_total_lag_24h,95
flow_lt_lv_lag_7d,94
flow_lt_se_rolling_std_24h,94
consumption_mw_lag_48h,93
flow_abs_total_lag_7d,91
flow_abs_total_lag_1,90
consumption_mw_lag_24h,90
wind_speed_10m_lag_48h,89
flow_lt_pl_lag_7d,86
flow_lt_lv_lag_48h,86
pl_price_rolling_std_24h,85
shortwave_radiation_lag_1,83
production_total_mw_lag_1,83
cloud_cover_rolling_std_24h,82
net_load_diff_24h,82
ee_price_lag_7d,80
rolling_std_7d,80
solar_proxy_lag_1,80
temperature_2m_lag_24h,80
temperature_2m_rolling_mean_24h,79
price_return_24h,79
wind_solar_interaction,77
flow_abs_total_lag_24h,77
ee_price_rolling_mean_24h,77
production_total_mw_lag_7d,77
solar_proxy_rolling_mean_24h,76
net_load_mw_lag_24h,76
cloud_cover_lag_24h,75
production_diff_24h,75
production_total_mw_rolling_std_24h,73
net_load_mw_lag_48h,73
lv_price_lag_7d,72
se4_price_rolling_mean_24h,72
flow_abs_total_lag_48h,72
production_total_mw_lag_24h,72
cloud_cover_lag_1,72
net_load_mw_lag_1,72
cloud_cover_rolling_mean_24h,71
flow_total_lag_7d,71
flow_lt_lv_rolling_std_24h,71
se4_price_lag_24h,70
ee_price_lag_48h,70
wind_speed_10m_rolling_mean_24h,70
cloud_cover_lag_48h,66
flow_total_rolling_mean_24h,64
temperature_2m_rolling_std_24h,62
flow_total_lag_1,62
solar_proxy_lag_48h,61
net_load_mw_lag_7d,61
production_total_mw_lag_48h,60
solar_proxy_lag_24h,60
flow_lt_pl_lag_48h,60
flow_lt_lv_rolling_mean_24h,59
flow_lt_se_rolling_mean_24h,59
flow_total_rolling_std_24h,58
production_total_mw_rolling_mean_24h,57
flow_total_lag_48h,57
shortwave_radiation_rolling_mean_24h,56
solar_proxy_rolling_std_24h,56
is_peak_hour,55
flow_abs_total_rolling_mean_24h,52
wind_speed_10m_rolling_std_24h,52
trend_24h,51
flow_lt_pl_rolling_std_24h,50
flow_lt_se_lag_48h,50
flow_lt_se_lag_1,48
net_load_mw_rolling_std_24h,47
dayofyear_sin,47
flow_lt_pl_rolling_mean_24h,47
consumption_mw_rolling_std_24h,47
pl_price_rolling_mean_24h,47
volatility_24h,46
net_load_mw_rolling_mean_24h,43
flow_lt_se_lag_7d,42
flow_lt_lv_lag_24h,39
shortwave_radiation_rolling_std_24h,39
flow_lt_pl_lag_24h,37
weekofyear,24
flow_lt_se_lag_24h,21
weekday_cos,20
solar_cloud_adjusted,16
volatility_7d,15
weekday_sin,12
weekday,9
month_sin,8
lag1_vs_lag24,8
month,8
high_vol_regime,5
is_weekend,0
minute,0
price_spike_flag,0
