feature,importance
lag_1,0.37499344
lv_price_rolling_mean_24h,0.089109
lag_2,0.07994509
rolling_mean_24h,0.05989606
price_vs_mean24h,0.024751911
flow_lt_lv_lag_48h,0.023807768
lag_24,0.022281116
spread_pl,0.018521514
spread_lv,0.011065471
lag_168,0.009390722
price_vs_mean7d,0.008663359
is_peak_hour,0.008530814
lv_price_rolling_std_24h,0.007639822
lv_price_diff_24h,0.007470201
spread_ee,0.0073741497
rolling_max_24h,0.0073174215
lv_price_lag_7d,0.0072848713
range_position_24h,0.0072626495
lag_72,0.0065820827
flow_lt_lv_lag_7d,0.006053452
ee_price_rolling_std_24h,0.0056940685
consumption_mw_lag_7d,0.0056329183
flow_lt_lv_rolling_mean_24h,0.0056151575
price_diff_1,0.005583529
price_zscore_24h,0.0051686405
lv_price_lag_24h,0.0046404754
price_diff_24h,0.0046393257
weekofyear,0.004495777
pl_price_rolling_mean_24h,0.003893145
trend_24h,0.0037066622
flow_lt_lv_lag_1,0.003694342
hour,0.0034550629
flow_lt_lv_rolling_std_24h,0.0033823499
consumption_mw_lag_1,0.0033651162
rolling_min_24h,0.0033563487
trend_medium,0.0030562433
rolling_std_24h,0.0030350224
trend_short,0.003021142
rolling_mean_7d,0.0030064003
consumption_mw_lag_48h,0.0028795898
ee_price_diff_24h,0.002740649
trend_7d,0.0026845643
ee_price_lag_24h,0.0026606575
dayofyear,0.0026562973
production_total_mw_rolling_mean_24h,0.0026396022
consumption_mw_lag_24h,0.0026068396
flow_lt_pl_lag_7d,0.0025868253
lv_price_lag_48h,0.0025578656
pl_price_diff_24h,0.0024968525
flow_lt_se_lag_48h,0.0023937563
net_load_mw_lag_7d,0.0023846682
se4_price_rolling_std_24h,0.0023265483
ee_price_rolling_mean_24h,0.002321987
flow_abs_total_lag_1,0.00231556
pl_price_rolling_std_24h,0.0022932193
flow_total_lag_1,0.0022922829
se4_price_lag_24h,0.0022653497
production_diff_24h,0.0022599227
pl_price_lag_7d,0.0022038948
se4_price_rolling_mean_24h,0.0021881682
lag_3,0.002164851
flow_lt_pl_lag_1,0.002126824
flow_total_diff_24h,0.002120634
lag_48,0.0021171465
production_total_mw_lag_24h,0.002108228
flow_abs_total_lag_24h,0.0020615417
consumption_mw_rolling_mean_24h,0.0020277784
spread_se4,0.002019138
flow_total_lag_7d,0.0020119185
consumption_diff_24h,0.0019597416
flow_lt_se_lag_1,0.001958104
se4_price_lag_7d,0.001925828
production_total_mw_rolling_std_24h,0.0019101821
flow_lt_pl_rolling_std_24h,0.001881371
se4_price_diff_24h,0.0018778533
flow_lt_se_lag_24h,0.0018216769
ee_price_lag_7d,0.0018012598
flow_lt_pl_lag_24h,0.0017706322
net_load_mw_lag_48h,0.0017456439
pl_price_lag_48h,0.0016965192
ee_price_lag_48h,0.001671798
production_total_mw_lag_7d,0.0016538026
flow_abs_total_lag_7d,0.0016453227
net_load_diff_24h,0.0016292639
flow_abs_total_rolling_mean_24h,0.0016289868
pl_price_lag_24h,0.0015813957
flow_lt_lv_lag_24h,0.0015645591
net_load_mw_lag_1,0.001561739
net_load_mw_lag_24h,0.0014842529
flow_abs_total_diff_24h,0.0014700228
hour_week,0.0014457717
se4_price_lag_48h,0.0014435587
flow_total_rolling_mean_24h,0.0014425562
flow_lt_se_rolling_mean_24h,0.0014273076
flow_lt_se_rolling_std_24h,0.0013947533
flow_total_lag_24h,0.0013712918
flow_total_lag_48h,0.0013052998
production_total_mw_lag_48h,0.0013020863
flow_lt_pl_rolling_mean_24h,0.0012953622
net_load_mw_rolling_std_24h,0.0012685785
weekday,0.0012653914
net_load_mw_rolling_mean_24h,0.0012639912
is_weekend,0.0012612105
flow_lt_se_lag_7d,0.0012341283
flow_abs_total_rolling_std_24h,0.0012272593
flow_total_rolling_std_24h,0.0011879173
flow_abs_total_lag_48h,0.0011547398
production_total_mw_lag_1,0.0011385321
consumption_mw_rolling_std_24h,0.0011300427
price_spike_flag,0.000933939
flow_lt_pl_lag_48h,0.0008950285
month,0.00047548514
minute,0.0
