feature,importance_gain
lag_1,0.47315207
lag_4,0.06795748
price_vs_mean7d,0.027662
lag_8,0.026723746
rolling_mean_7d,0.019646645
ee_price,0.018323153
consumption_mw_rolling_mean_24h,0.018253986
rolling_max_24h,0.013037277
consumption_mw_lag_7d,0.0122017935
lv_price,0.00986657
price_vs_mean24h,0.008746457
production_total_mw_lag_24h,0.00841839
production_total_mw_lag_7d,0.007593942
range_position_24h,0.0075224903
trend_medium,0.0072555663
consumption_mw_lag_1,0.0068709697
minute,0.005815102
hour_week,0.0057749236
consumption_mw_lag_48h,0.005610295
hour_sin,0.0048616636
consumption_diff_24h,0.004826536
month_cos,0.0045622564
weekday,0.0045125093
hour,0.004493896
timeofday_cos,0.0044906046
rolling_mean_24h,0.004486938
timeofday_sin,0.004426277
pl_price,0.0043944875
flow_abs_total_rolling_std_24h,0.0043867254
trend_7d,0.004170802
month_sin,0.004090927
rolling_std_24h,0.0040779226
lag_96,0.0040764003
production_total_mw_lag_1,0.0040716943
rolling_min_24h,0.0039469446
price_jump_1,0.003919611
lag_672,0.0038480891
price_return_1,0.0038244694
price_diff_24h,0.003819909
price_return_24h,0.0037256086
consumption_mw_lag_24h,0.0037156793
production_total_mw_rolling_mean_24h,0.0036391334
production_total_mw_rolling_std_24h,0.00349636
flow_lt_lv_rolling_std_24h,0.0033469545
trend_24h,0.0032415253
consumption_mw_rolling_std_24h,0.0032156948
dayofyear,0.003211018
se4_price,0.0032078896
month,0.0031335992
trend_short,0.0031051915
flow_total_lag_48h,0.0030772542
is_peak_hour,0.002985152
volatility_7d,0.002975618
flow_lt_lv_lag_7d,0.002970279
net_load_mw_lag_1,0.0028995916
flow_lt_lv_rolling_mean_24h,0.002883563
flow_lt_lv_lag_48h,0.002844356
production_total_mw_lag_48h,0.002808399
price_diff_1,0.0027953398
flow_abs_total_lag_7d,0.0027636697
flow_total_lag_7d,0.0027345023
lag1_vs_lag24,0.002664724
rolling_std_7d,0.0026420052
volatility_24h,0.0026414972
flow_lt_pl_lag_48h,0.0025965269
net_load_mw_lag_7d,0.0025765852
hour_cos,0.002564259
dayofyear_cos,0.002539915
net_load_mw_lag_48h,0.0025106661
flow_lt_se_lag_48h,0.0024793586
dayofyear_sin,0.002431721
flow_total_rolling_mean_24h,0.0023908424
lag_192,0.0023801248
net_load_mw_lag_24h,0.002345431
flow_abs_total_lag_24h,0.0023404616
production_diff_24h,0.0023134735
flow_lt_se_lag_24h,0.00231146
flow_lt_pl_rolling_mean_24h,0.0022882286
flow_total_lag_24h,0.0022448185
flow_total_diff_24h,0.0022404983
flow_lt_se_rolling_std_24h,0.002213547
flow_lt_pl_lag_7d,0.002174035
flow_abs_total_lag_1,0.002160674
net_load_mw_rolling_mean_24h,0.002153892
flow_total_lag_1,0.0021445581
price_zscore_24h,0.002100451
flow_total_rolling_std_24h,0.0020963142
flow_lt_pl_lag_24h,0.0020698132
net_load_diff_24h,0.002048809
flow_abs_total_lag_48h,0.0020352653
flow_abs_total_rolling_mean_24h,0.0020146572
flow_lt_se_rolling_mean_24h,0.0020130912
flow_lt_lv_lag_24h,0.0019761815
flow_lt_se_lag_7d,0.0019545401
abs_price_jump_1,0.0019418212
flow_lt_pl_rolling_std_24h,0.0018533117
flow_lt_pl_lag_1,0.0018257647
weekday_cos,0.0017834064
weekofyear,0.0017220333
flow_abs_total_diff_24h,0.0017034981
price_spike_flag,0.0016604234
flow_lt_lv_lag_1,0.0016377672
net_load_mw_rolling_std_24h,0.0016200223
flow_lt_se_lag_1,0.0015695891
high_vol_regime,0.0009557447
weekday_sin,0.0008630606
is_weekend,0.0007071713
