feature,importance
lag_1,0.31496972
lag_4,0.0953839
consumption_mw_lag_1,0.04273707
spread_se4,0.033720523
spread_pl,0.030469062
price_vs_mean7d,0.020320572
shortwave_radiation_rolling_mean_24h,0.019899154
lv_price_rolling_std_24h,0.012694087
rolling_mean_7d,0.011631387
price_vs_mean24h,0.010922025
solar_proxy_rolling_mean_24h,0.010656136
production_total_mw_lag_7d,0.008788041
ee_price_rolling_std_24h,0.008388849
ee_price_lag_7d,0.007928129
consumption_mw_rolling_mean_24h,0.006998053
trend_medium,0.0069702147
range_position_24h,0.0067220074
flow_abs_total_rolling_std_24h,0.006023621
hour_cos,0.0057895007
consumption_mw_lag_7d,0.005771223
cloud_cover_rolling_mean_24h,0.0056406674
minute,0.005521004
flow_abs_total_lag_1,0.00543882
hour_week,0.0054118424
hour_sin,0.0053803436
rolling_min_24h,0.00511957
lv_price_rolling_mean_24h,0.004919781
lv_price_lag_7d,0.0048836772
production_total_mw_lag_24h,0.0048219734
lag_672,0.0047812155
timeofday_cos,0.004773844
rolling_std_24h,0.0047291573
consumption_mw_lag_48h,0.004547197
consumption_diff_24h,0.0045400015
lag_8,0.0044952338
lag_96,0.0041623856
timeofday_sin,0.00409157
month,0.0040458133
spread_lv,0.0040333606
hour,0.003996935
ee_price_rolling_mean_24h,0.003933108
solar_proxy_rolling_std_24h,0.0036073762
lv_price_diff_24h,0.0035968807
consumption_mw_rolling_std_24h,0.003562967
ee_price_diff_24h,0.003537713
se4_price_lag_24h,0.0034883341
rolling_max_24h,0.0033170742
flow_total_lag_48h,0.0033047008
flow_lt_lv_lag_48h,0.00326306
pl_price_lag_7d,0.003262
consumption_mw_lag_24h,0.0032493095
se4_price_lag_7d,0.0032187293
shortwave_radiation_lag_24h,0.0032150275
spread_ee,0.0031925305
month_cos,0.0031636339
spread_lv_zscore,0.0031618509
flow_abs_total_lag_24h,0.0030498484
flow_lt_lv_rolling_std_24h,0.0030278012
flow_abs_total_lag_7d,0.003012901
pl_price_rolling_mean_24h,0.0030062941
net_load_mw_lag_1,0.0029385788
trend_short,0.002925778
rolling_std_7d,0.0029188327
ee_price_lag_24h,0.0029160099
cloud_cover_lag_1,0.002911498
net_load_mw_rolling_mean_24h,0.0028537037
volatility_24h,0.0028463695
wind_speed_10m_lag_1,0.0028402638
pl_price_lag_24h,0.0027667987
flow_lt_pl_lag_7d,0.0027599651
production_total_mw_lag_1,0.0026927763
is_peak_hour,0.002684281
lv_price_lag_24h,0.0026029097
price_diff_1,0.002582803
flow_lt_se_lag_1,0.0025806725
volatility_7d,0.0025223547
abs_price_jump_1,0.0025189498
price_zscore_24h,0.002508998
price_jump_1,0.0022864942
ee_price_lag_48h,0.002259258
shortwave_radiation_lag_1,0.0022175803
net_load_mw_lag_7d,0.0022066105
trend_7d,0.002185098
se4_price_diff_24h,0.002183717
wind_speed_10m_lag_24h,0.002178693
flow_abs_total_lag_48h,0.0021691758
spread_lv_change,0.0021561647
net_load_mw_rolling_std_24h,0.0021314141
flow_lt_pl_rolling_mean_24h,0.0021273615
lag_192,0.0021029366
se4_price_rolling_mean_24h,0.0020793697
flow_total_diff_24h,0.002067836
temperature_2m_rolling_mean_24h,0.0020318348
temperature_2m_lag_48h,0.0020161814
lv_price_lag_48h,0.002007825
pl_price_lag_48h,0.001972079
temperature_2m_lag_1,0.0019479471
dayofyear_sin,0.001894449
flow_lt_se_rolling_mean_24h,0.0018828381
flow_lt_pl_rolling_std_24h,0.0018734301
flow_lt_lv_lag_7d,0.0018351608
production_diff_24h,0.0018325568
flow_lt_lv_rolling_mean_24h,0.0018293117
rolling_mean_24h,0.0018269366
flow_total_lag_7d,0.0018042683
flow_total_lag_1,0.0018025364
cloud_cover_lag_48h,0.0017995432
price_diff_24h,0.001787881
wind_speed_10m_rolling_mean_24h,0.0017542205
net_load_mw_lag_24h,0.0017463677
production_total_mw_rolling_mean_24h,0.0017092872
flow_lt_pl_lag_48h,0.0016642973
flow_abs_total_rolling_mean_24h,0.0016398913
flow_lt_pl_lag_24h,0.0016331513
se4_price_lag_48h,0.001629222
solar_cloud_adjusted,0.0016162538
dayofyear,0.0016159584
flow_lt_se_lag_24h,0.001607229
pl_price_diff_24h,0.0015907692
solar_proxy_lag_24h,0.0015898588
temperature_2m_rolling_std_24h,0.0015828565
wind_speed_10m_rolling_std_24h,0.0015826075
flow_abs_total_diff_24h,0.0015603501
cloud_cover_lag_24h,0.0015584641
net_load_mw_lag_48h,0.0014968653
high_vol_regime,0.0014919385
flow_lt_lv_lag_24h,0.0014765344
flow_total_rolling_std_24h,0.0014740108
flow_lt_pl_lag_1,0.0014513141
lag1_vs_lag24,0.0014233572
flow_lt_se_lag_48h,0.0014204439
shortwave_radiation_lag_48h,0.0014182705
solar_proxy_lag_48h,0.0013478469
flow_lt_se_rolling_std_24h,0.0013265493
flow_total_lag_24h,0.0013109267
temperature_2m_lag_24h,0.0012887649
flow_total_rolling_mean_24h,0.0012811297
