feature,importance
lag_1,0.4559775
rolling_mean_24h,0.12791923
lag_2,0.03856093
lv_price,0.021645054
flow_lt_lv_lag_48h,0.018471882
lag_24,0.015133707
price_vs_mean7d,0.014947636
shortwave_radiation_rolling_std_24h,0.009033264
rolling_max_24h,0.0071933446
is_peak_hour,0.0068792477
lag_168,0.0068432707
ee_price,0.006773673
range_position_24h,0.0064137597
price_vs_mean24h,0.0054010246
hour_sin,0.0054001617
flow_abs_total_rolling_mean_24h,0.0052455612
wind_speed_10m_lag_48h,0.0048661553
volatility_7d,0.0047975793
flow_lt_lv_rolling_mean_24h,0.004767902
shortwave_radiation_rolling_mean_24h,0.004600831
price_diff_1,0.0044188383
price_zscore_24h,0.0044068797
trend_short,0.0044002454
temperature_2m_lag_1,0.004170964
solar_proxy_lag_1,0.0040048505
price_jump_1,0.0038413852
flow_abs_total_lag_1,0.0037335267
hour_cos,0.0036745386
rolling_mean_7d,0.0036035662
solar_proxy_rolling_mean_24h,0.0035577673
se4_price,0.003385702
cloud_cover_lag_24h,0.0032495626
consumption_mw_lag_7d,0.0032042344
flow_total_diff_24h,0.003201174
price_diff_24h,0.0031852094
production_total_mw_rolling_std_24h,0.003171915
is_weekend,0.0031519986
lag_72,0.003138902
abs_price_jump_1,0.003053611
dayofyear_cos,0.0030168847
pl_price,0.0029906016
shortwave_radiation_lag_1,0.0029645024
temperature_2m_lag_24h,0.0029030177
rolling_std_7d,0.0028760922
cloud_cover_rolling_mean_24h,0.0028403027
lag_48,0.0027285432
flow_lt_pl_lag_48h,0.0026106585
net_load_mw_lag_24h,0.0025613536
flow_lt_lv_lag_7d,0.0025613129
temperature_2m_rolling_std_24h,0.00255994
month_sin,0.0025132417
production_total_mw_lag_1,0.0024980663
flow_lt_pl_lag_7d,0.0024595573
shortwave_radiation_lag_24h,0.0024240618
trend_24h,0.0023789466
shortwave_radiation_lag_48h,0.0023297635
temperature_2m_lag_48h,0.0022904
solar_proxy_rolling_std_24h,0.0022828202
production_total_mw_lag_7d,0.0022774085
weekday,0.0022576384
month_cos,0.002244955
hour,0.0022420844
consumption_diff_24h,0.0022249597
wind_solar_interaction,0.0021719516
trend_medium,0.0021659934
flow_total_rolling_mean_24h,0.0021336973
flow_total_lag_7d,0.0020942872
dayofyear_sin,0.0020513867
cloud_cover_lag_1,0.0020383245
wind_speed_10m_rolling_std_24h,0.0020064097
hour_week,0.0019712476
solar_proxy_lag_24h,0.0019478874
consumption_mw_lag_1,0.0019109393
production_total_mw_lag_24h,0.0018386566
flow_total_lag_1,0.0018171205
trend_7d,0.0018090828
consumption_mw_lag_24h,0.0018077007
rolling_std_24h,0.0017875972
wind_speed_10m_rolling_mean_24h,0.0017504207
flow_total_lag_48h,0.0017450275
solar_proxy_lag_48h,0.001727727
flow_abs_total_lag_7d,0.0017127611
flow_abs_total_diff_24h,0.0017055424
consumption_mw_lag_48h,0.0016961504
dayofyear,0.0016819385
volatility_24h,0.0016567115
flow_abs_total_lag_48h,0.0016166964
wind_speed_10m_lag_1,0.0016148442
flow_lt_pl_lag_1,0.001605848
wind_speed_10m_lag_24h,0.0016052919
flow_lt_pl_lag_24h,0.0016049447
flow_lt_lv_lag_24h,0.0015366076
lag_3,0.001529951
weekday_cos,0.0015036922
production_total_mw_rolling_mean_24h,0.0014955179
net_load_mw_lag_7d,0.0014942192
net_load_mw_lag_48h,0.0014604259
consumption_mw_rolling_mean_24h,0.0014594472
weekday_sin,0.0014587983
solar_cloud_adjusted,0.0014553508
temperature_2m_rolling_mean_24h,0.0014446382
production_diff_24h,0.0014407561
net_load_mw_rolling_mean_24h,0.0014374293
cloud_cover_rolling_std_24h,0.0014039153
net_load_diff_24h,0.0013829301
flow_lt_se_rolling_std_24h,0.0013664839
net_load_mw_lag_1,0.0013608426
lag1_vs_lag24,0.0013220403
rolling_min_24h,0.0012967916
net_load_mw_rolling_std_24h,0.0012894695
cloud_cover_lag_48h,0.0012510645
flow_abs_total_lag_24h,0.0012441344
price_spike_flag,0.0012332391
flow_lt_lv_lag_1,0.0012281378
flow_abs_total_rolling_std_24h,0.0011994669
flow_total_rolling_std_24h,0.0011838207
flow_lt_se_rolling_mean_24h,0.0011801639
month,0.0011596633
flow_lt_pl_rolling_mean_24h,0.0011482198
flow_lt_pl_rolling_std_24h,0.0011428787
flow_total_lag_24h,0.0011327862
flow_lt_se_lag_1,0.0010871796
flow_lt_se_lag_7d,0.0010044563
flow_lt_lv_rolling_std_24h,0.0010015068
production_total_mw_lag_48h,0.0009781215
consumption_mw_rolling_std_24h,0.0009691267
flow_lt_se_lag_48h,0.00089233276
high_vol_regime,0.00085390435
flow_lt_se_lag_24h,0.0006690289
weekofyear,0.0005615236
minute,0.0
