feature,importance
lag_1,0.4894849
lv_price_rolling_mean_24h,0.111520186
flow_lt_lv_lag_48h,0.01723673
lag_24,0.014337905
lag_2,0.010799026
solar_cloud_adjusted,0.009982502
hour_sin,0.009274747
is_peak_hour,0.008734186
spread_pl,0.008547997
price_vs_mean7d,0.008230375
spread_lv,0.007732536
lag_168,0.0074240174
price_zscore_24h,0.0070644957
spread_lv_zscore,0.0069500613
wind_speed_10m_lag_48h,0.0061214007
solar_proxy_lag_1,0.0060269735
pl_price_rolling_mean_24h,0.005890665
lv_price_rolling_std_24h,0.005261235
consumption_mw_lag_7d,0.005088715
price_vs_mean24h,0.0046485174
flow_abs_total_rolling_mean_24h,0.0045078355
pl_price_diff_24h,0.0044887983
spread_ee,0.004463978
spread_lv_change,0.0043816348
rolling_mean_7d,0.0043274574
lv_price_diff_24h,0.0039622327
ee_price_rolling_std_24h,0.0037729288
flow_lt_lv_rolling_mean_24h,0.0035716456
ee_price_lag_24h,0.0035683133
trend_short,0.003494099
rolling_std_7d,0.0034223218
lv_price_lag_7d,0.0032671422
shortwave_radiation_rolling_std_24h,0.0032408857
temperature_2m_lag_1,0.0030821841
lag_72,0.003017529
flow_lt_lv_lag_7d,0.0029745663
cloud_cover_rolling_mean_24h,0.0029647434
pl_price_rolling_std_24h,0.0029256307
lag1_vs_lag24,0.00287229
shortwave_radiation_lag_1,0.0027938553
flow_lt_pl_lag_7d,0.002789403
rolling_mean_24h,0.0027544068
lag_48,0.002685378
price_spike_flag,0.0026633479
se4_price_rolling_std_24h,0.0026499568
se4_price_diff_24h,0.00264126
ee_price_diff_24h,0.0026204071
solar_proxy_rolling_mean_24h,0.0026200397
flow_abs_total_lag_24h,0.0025345546
hour,0.0025344437
se4_price_lag_24h,0.0024557407
flow_total_diff_24h,0.002436383
lv_price_lag_48h,0.0024334153
flow_lt_pl_lag_48h,0.0024226294
pl_price_lag_7d,0.0023907535
abs_price_jump_1,0.0023824284
pl_price_lag_24h,0.0023363694
trend_7d,0.002301974
se4_price_lag_7d,0.002289247
flow_total_lag_7d,0.0022833524
range_position_24h,0.0022235815
spread_se4,0.0022068091
temperature_2m_lag_48h,0.002147528
flow_lt_se_lag_48h,0.0021318113
flow_total_rolling_mean_24h,0.002129966
ee_price_rolling_mean_24h,0.0020850936
net_load_mw_lag_1,0.0020712027
hour_cos,0.0020345247
production_total_mw_lag_1,0.0020340378
volatility_7d,0.0020138656
wind_speed_10m_lag_24h,0.0020057464
consumption_mw_lag_1,0.0019504189
consumption_diff_24h,0.001937604
temperature_2m_lag_24h,0.0019185331
rolling_max_24h,0.001820715
price_jump_1,0.0018187788
cloud_cover_lag_24h,0.0018069505
flow_abs_total_lag_7d,0.0017672499
price_diff_1,0.0017476147
trend_medium,0.001739646
lv_price_lag_24h,0.0017366726
rolling_min_24h,0.0017043585
shortwave_radiation_lag_24h,0.0016821943
month_cos,0.0016271035
high_vol_regime,0.0016264509
dayofyear,0.0015887097
shortwave_radiation_lag_48h,0.0015787614
flow_abs_total_lag_1,0.0015722683
se4_price_lag_48h,0.0015229243
dayofyear_sin,0.0015010497
production_diff_24h,0.0014899028
hour_week,0.0014793182
price_diff_24h,0.0014655973
cloud_cover_rolling_std_24h,0.0014433974
flow_lt_lv_rolling_std_24h,0.0014284821
net_load_mw_rolling_mean_24h,0.0014220058
weekofyear,0.0014110133
flow_lt_se_rolling_std_24h,0.0014003866
flow_lt_lv_lag_1,0.0013941865
weekday,0.0013721496
flow_total_lag_1,0.0013677373
solar_proxy_lag_48h,0.0013595518
net_load_mw_rolling_std_24h,0.0013303532
shortwave_radiation_rolling_mean_24h,0.0013147942
flow_lt_se_lag_24h,0.0013053927
wind_solar_interaction,0.0012976679
consumption_mw_lag_48h,0.0012836312
rolling_std_24h,0.0012751659
dayofyear_cos,0.0012487699
consumption_mw_lag_24h,0.0012428518
solar_proxy_lag_24h,0.0012404823
cloud_cover_lag_1,0.0012351808
solar_proxy_rolling_std_24h,0.0012332702
ee_price_lag_48h,0.001204036
flow_abs_total_diff_24h,0.0011985772
